effect,bri,watt
blink,5,0.79
blink,45,1.36
blink,85,1.99
blink,125,2.6
blink,165,3.14
blink,205,3.69
blink,245,4.31
blink,255,4.44
breathe,5,0.7
breathe,45,1.34
breathe,85,1.98
breathe,125,2.58
breathe,165,3.15
breathe,205,3.71
breathe,245,4.28
breathe,255,4.42
okay,5,0.71
okay,45,1.35
okay,85,2.0
okay,125,2.56
okay,165,3.11
okay,205,3.72
okay,245,4.3
okay,255,4.41
channel_change,5,0.7
channel_change,45,1.29
channel_change,85,1.9
channel_change,125,2.59
channel_change,165,3.13
channel_change,205,3.7
channel_change,245,4.31
channel_change,255,4.42
finish_effect,5,0.7
finish_effect,45,1.33
finish_effect,85,1.99
finish_effect,125,2.6
finish_effect,165,3.08
finish_effect,205,3.69
finish_effect,245,4.33
finish_effect,255,4.42
stop_effect,5,0.69
stop_effect,45,1.33
stop_effect,85,1.99
stop_effect,125,2.6
stop_effect,165,3.07
stop_effect,205,3.67
stop_effect,245,4.3
stop_effect,255,4.43
colorloop,5,0.64
colorloop,45,1.15
colorloop,85,1.91
colorloop,125,2.37
colorloop,165,3.34
colorloop,205,3.72
colorloop,245,4.38
colorloop,255,4.33
stop_colorloop,5,2.19
stop_colorloop,45,2.05
stop_colorloop,85,2.04
stop_colorloop,125,2.08
stop_colorloop,165,2.16
stop_colorloop,205,2.29
stop_colorloop,245,2.44
stop_colorloop,255,2.64
