effect,bri,watt
none,5,5.45
none,55,9.3
none,105,13.05
none,155,16.6
none,205,21.45
none,255,25.8
Afternoon,5,4.95
Afternoon,55,8.15
Afternoon,105,12.45
Afternoon,155,15.95
Afternoon,205,19.0
Afternoon,255,22.65
April Fool's Day,5,4.95
April Fool's Day,55,6.25
April Fool's Day,105,7.4
April Fool's Day,155,8.35
April Fool's Day,205,9.4
April Fool's Day,255,10.1
Aurora,5,5.0
Aurora,55,10.0
Aurora,105,14.4
Aurora,155,18.65
Aurora,205,23.25
Aurora,255,27.1
Beach,5,5.2
Beach,55,11.7
Beach,105,17.8
Beach,155,23.5
Beach,205,29.5
Beach,255,35.5
Berry,5,5.0
Berry,55,9.35
Berry,105,13.15
Berry,155,17.4
Berry,205,20.95
Berry,255,24.95
Birthday,5,5.0
Birthday,55,7.55
Birthday,105,10.3
Birthday,155,13.45
Birthday,205,16.0
Birthday,255,17.4
Blessing,5,5.1
Blessing,55,10.25
Blessing,105,14.7
Blessing,155,19.5
Blessing,205,23.9
Blessing,255,28.6
Blue,5,5.05
Blue,55,10.1
Blue,105,14.7
Blue,155,19.5
Blue,205,23.8
Blue,255,28.4
Bonfire,5,4.95
Bonfire,55,6.4
Bonfire,105,8.4
Bonfire,155,9.95
Bonfire,205,11.2
Bonfire,255,13.2
Breeze,5,4.95
Breeze,55,6.1
Breeze,105,7.2
Breeze,155,8.25
Breeze,205,9.7
Breeze,255,10.7
Candlelight,5,5.05
Candlelight,55,9.05
Candlelight,105,12.75
Candlelight,155,16.5
Candlelight,205,20.0
Candlelight,255,23.7
Care,5,5.0
Care,55,7.75
Care,105,11.1
Care,155,14.05
Care,205,16.5
Care,255,19.55
Carnival,5,5.1
Carnival,55,8.05
Carnival,105,10.8
Carnival,155,13.55
Carnival,205,16.35
Carnival,255,19.25
Cheerful,5,4.95
Cheerful,55,8.1
Cheerful,105,9.9
Cheerful,155,13.35
Cheerful,205,14.6
Cheerful,255,18.45
Cherry blossoms,5,4.9
Cherry blossoms,55,6.4
