effect,bri,watt
off,5,0.34
off,45,0.4
off,85,0.54
off,125,0.81
off,165,1.07
off,205,1.39
off,245,1.91
off,255,2.06
candle,5,0.39
candle,45,0.57
candle,85,0.9
candle,125,1.28
candle,165,1.85
candle,205,2.58
candle,245,3.41
candle,255,3.8
fire,5,0.36
fire,45,0.47
fire,85,0.64
fire,125,0.87
fire,165,1.14
fire,205,1.57
fire,245,1.92
fire,255,2.07
prism,5,0.35
prism,45,0.42
prism,85,0.55
prism,125,0.78
prism,165,0.99
prism,205,1.3
prism,245,1.64
prism,255,1.75
sparkle,5,0.37
sparkle,45,0.39
sparkle,85,0.45
sparkle,125,0.57
sparkle,165,0.72
sparkle,205,0.92
sparkle,245,1.1
sparkle,255,1.18
opal,5,0.34
opal,45,0.54
opal,85,0.98
opal,125,1.6
opal,165,2.46
opal,205,3.77
opal,245,4.87
opal,255,5.21
glisten,5,0.35
glisten,45,0.42
glisten,85,0.59
glisten,125,0.81
glisten,165,1.12
glisten,205,1.51
glisten,245,2.0
glisten,255,2.15
underwater,5,0.34
underwater,45,0.38
underwater,85,0.45
underwater,125,0.58
underwater,165,0.75
underwater,205,0.88
underwater,245,1.13
underwater,255,1.19
cosmos,5,0.34
cosmos,45,0.37
cosmos,85,0.41
cosmos,125,0.4
cosmos,165,0.47
cosmos,205,0.59
cosmos,245,0.71
cosmos,255,0.73
sunbeam,5,0.35
sunbeam,45,0.56
sunbeam,85,0.97
sunbeam,125,1.69
sunbeam,165,2.6
sunbeam,205,3.9
sunbeam,245,5.39
sunbeam,255,5.86
enchant,5,0.32
enchant,45,0.31
enchant,85,0.49
enchant,125,0.62
enchant,165,1.04
enchant,205,1.29
enchant,245,1.64
enchant,255,2.0
sunrise,5,0.33
sunrise,45,0.32
sunrise,85,0.34
sunrise,125,0.33
sunrise,165,0.35
sunrise,205,0.35
sunrise,245,0.35
sunrise,255,0.35
sunset,5,0.34
sunset,45,0.4
sunset,85,0.57
sunset,125,0.86
sunset,165,1.15
sunset,205,1.54
sunset,245,2.1
sunset,255,2.25
