effect,bri,watt
blink,5,0.49
blink,45,0.56
blink,85,0.66
blink,125,0.72
blink,165,0.79
blink,205,0.84
blink,245,0.93
blink,255,0.94
breathe,5,0.44
breathe,45,0.55
breathe,85,0.62
breathe,125,0.71
breathe,165,0.79
breathe,205,0.84
breathe,245,0.92
breathe,255,0.94
channel_change,5,0.46
channel_change,45,0.54
channel_change,85,0.62
channel_change,125,0.72
channel_change,165,0.77
channel_change,205,0.85
channel_change,245,0.92
channel_change,255,0.94
colorloop,5,0.39
colorloop,45,0.53
colorloop,85,0.67
colorloop,125,0.81
colorloop,165,0.94
colorloop,205,1.05
colorloop,245,1.22
colorloop,255,1.22
finish_effect,5,0.44
finish_effect,45,0.56
finish_effect,85,0.62
finish_effect,125,0.7
finish_effect,165,0.78
finish_effect,205,0.85
finish_effect,245,0.92
finish_effect,255,0.94
okay,5,0.46
okay,45,0.55
okay,85,0.64
okay,125,0.71
okay,165,0.8
okay,205,0.85
okay,245,0.93
okay,255,0.94
stop_colorloop,5,0.43
stop_colorloop,45,0.52
stop_colorloop,85,0.61
stop_colorloop,125,0.69
stop_colorloop,165,0.79
stop_colorloop,205,0.86
stop_colorloop,245,0.95
stop_colorloop,255,0.97
stop_effect,5,0.43
stop_effect,45,0.55
stop_effect,85,0.64
stop_effect,125,0.7
stop_effect,165,0.78
stop_effect,205,0.83
stop_effect,245,0.9
stop_effect,255,0.94
