effect,bri,watt
Alarm,5,5.55
Alarm,15,4.17
Alarm,25,4.6
Alarm,35,4.75
Alarm,45,5.78
Alarm,55,6.22
Alarm,65,4.12
Alarm,75,5.38
Alarm,85,6.12
Alarm,95,4.47
Alarm,105,5.38
Alarm,115,4.92
Alarm,125,5.15
Alarm,135,5.15
Alarm,145,4.8
Alarm,155,5.15
Alarm,165,5.1
Alarm,175,4.72
Alarm,185,6.38
Alarm,195,4.58
Alarm,205,4.88
Alarm,215,5.88
Alarm,225,4.25
Alarm,235,4.53
Alarm,245,5.58
Alarm,255,5.05
Bedtime,5,1.25
Bedtime,15,1.23
Bedtime,25,1.27
Bedtime,35,1.32
Bedtime,45,1.38
Bedtime,55,1.45
Bedtime,65,1.52
Bedtime,75,1.57
Bedtime,85,1.75
Bedtime,95,1.77
Bedtime,105,1.95
Bedtime,115,2.12
Bedtime,125,2.2
Bedtime,135,2.38
Bedtime,145,2.52
Bedtime,155,2.75
Bedtime,165,2.92
Bedtime,175,2.92
Bedtime,185,3.12
Bedtime,195,3.25
Bedtime,205,3.35
Bedtime,215,3.52
Bedtime,225,3.58
Bedtime,235,3.65
Bedtime,245,3.73
Bedtime,255,3.73
Candlelight,5,1.32
Candlelight,15,1.32
Candlelight,25,1.32
Candlelight,35,1.27
Candlelight,45,1.4
Candlelight,55,1.5
Candlelight,65,1.52
Candlelight,75,1.55
Candlelight,85,1.7
Candlelight,95,1.92
Candlelight,105,1.95
Candlelight,115,2.2
Candlelight,125,2.1
Candlelight,135,2.45
Candlelight,145,2.58
Candlelight,155,2.73
Candlelight,165,2.92
Candlelight,175,2.95
Candlelight,185,3.15
Candlelight,195,3.25
Candlelight,205,3.38
Candlelight,215,3.5
Candlelight,225,3.6
Candlelight,235,3.62
Candlelight,245,3.62
Candlelight,255,3.58
Christmas,5,1.23
Christmas,15,1.2
Christmas,25,1.12
Christmas,35,1.2
Christmas,45,1.3
Christmas,55,1.35
Christmas,65,1.3
Christmas,75,1.32
Christmas,85,1.52
Christmas,95,1.65
Christmas,105,1.65
Christmas,115,1.75
Christmas,125,1.98
Christmas,135,2.12
Christmas,145,2.2
Christmas,155,2.35
Christmas,165,2.33
Christmas,175,2.45
Christmas,185,2.48
Christmas,195,2.55
Christmas,205,2.65
Christmas,215,2.95
Christmas,225,2.85
Christmas,235,2.88
Christmas,245,3.05
Christmas,255,3.02
Cozy,5,1.2
Cozy,15,1.27
Cozy,25,1.32
Cozy,35,1.25
Cozy,45,1.23
Cozy,55,1.43
Cozy,65,1.5
Cozy,75,1.65
Cozy,85,1.77
Cozy,95,1.98
Cozy,105,2.12
Cozy,115,2.27
Cozy,125,2.38
Cozy,135,2.58
Cozy,145,2.75
Cozy,155,2.88
Cozy,165,3.15
Cozy,175,3.17
Cozy,185,3.42
Cozy,195,3.55
Cozy,205,3.65
Cozy,215,3.92
Cozy,225,3.88
Cozy,235,3.95
Cozy,245,4.02
Cozy,255,4.05
Cool white,5,1.38
Cool white,15,1.3
Cool white,25,1.4
Cool white,35,1.45
Cool white,45,1.62
Cool white,55,1.9
Cool white,65,1.95
Cool white,75,2.5
Cool white,85,2.65
Cool white,95,2.83
Cool white,105,3.23
Cool white,115,3.42
Cool white,125,3.95
Cool white,135,4.38
Cool white,145,4.55
Cool white,155,5.07
Cool white,165,5.6
Cool white,175,5.9
Cool white,185,6.17
Cool white,195,6.55
Cool white,205,6.78
Cool white,215,7.12
Cool white,225,7.4
Cool white,235,7.8
Cool white,245,7.95
Cool white,255,7.97
Daylight,5,1.35
Daylight,15,1.42
Daylight,25,1.35
Daylight,35,1.52
Daylight,45,1.6
Daylight,55,1.88
Daylight,65,2.05
Daylight,75,2.3
Daylight,85,2.65
Daylight,95,2.8
Daylight,105,3.25
Daylight,115,3.58
Daylight,125,3.88
Daylight,135,4.4
Daylight,145,4.75
Daylight,155,5.05
Daylight,165,5.53
Daylight,175,5.97
Daylight,185,6.1
Daylight,195,6.45
Daylight,205,6.9
Daylight,215,7.12
Daylight,225,7.4
Daylight,235,7.8
Daylight,245,7.88
Daylight,255,8.07
Diwali,5,1.27
Diwali,15,1.38
Diwali,25,1.18
Diwali,35,1.35
Diwali,45,1.4
Diwali,55,1.5
Diwali,65,1.43
Diwali,75,1.65
Diwali,85,1.6
Diwali,95,1.73
Diwali,105,1.85
Diwali,115,2.02
Diwali,125,2.08
Diwali,135,2.23
Diwali,145,2.4
Diwali,155,2.55
Diwali,165,2.62
Diwali,175,2.88
Diwali,185,2.9
Diwali,195,2.97
Diwali,205,3.02
Diwali,215,3.27
Diwali,225,3.2
Diwali,235,3.25
Diwali,245,3.55
Diwali,255,3.52
Deep dive,5,1.12
Deep dive,15,1.18
Deep dive,25,1.2
Deep dive,35,1.2
Deep dive,45,1.3
Deep dive,55,1.27
Deep dive,65,1.4
Deep dive,75,1.52
Deep dive,85,1.52
Deep dive,95,1.65
Deep dive,105,1.65
Deep dive,115,1.8
Deep dive,125,1.9
Deep dive,135,2.0
Deep dive,145,2.05
Deep dive,155,2.23
Deep dive,165,2.2
Deep dive,175,2.4
Deep dive,185,2.52
Deep dive,195,2.6
Deep dive,205,2.7
Deep dive,215,2.7
Deep dive,225,2.73
Deep dive,235,2.92
Deep dive,245,2.95
Deep dive,255,3.08
Fall,5,1.32
Fall,15,1.27
Fall,25,1.27
Fall,35,1.27
Fall,45,1.32
Fall,55,1.45
Fall,65,1.45
Fall,75,1.62
Fall,85,1.68
Fall,95,1.82
Fall,105,1.85
Fall,115,2.08
Fall,125,2.17
Fall,135,2.38
Fall,145,2.45
Fall,155,2.67
Fall,165,2.73
Fall,175,2.9
Fall,185,2.98
Fall,195,3.05
Fall,205,3.33
Fall,215,3.4
Fall,225,3.27
Fall,235,3.55
Fall,245,3.55
Fall,255,3.58
Fireplace,5,1.27
Fireplace,15,1.32
Fireplace,25,1.27
Fireplace,35,1.3
Fireplace,45,1.4
Fireplace,55,1.42
Fireplace,65,1.48
Fireplace,75,1.62
Fireplace,85,1.65
Fireplace,95,1.85
Fireplace,105,1.9
Fireplace,115,1.98
Fireplace,125,2.17
Fireplace,135,2.23
Fireplace,145,2.33
Fireplace,155,2.5
Fireplace,165,2.7
Fireplace,175,2.67
Fireplace,185,2.85
Fireplace,195,2.98
Fireplace,205,2.92
Fireplace,215,3.1
Fireplace,225,3.12
Fireplace,235,3.2
Fireplace,245,3.25
Fireplace,255,3.38
Forest,5,1.35
Forest,15,1.27
Forest,25,1.3
Forest,35,1.23
Forest,45,1.4
Forest,55,1.48
Forest,65,1.57
Forest,75,1.57
Forest,85,1.68
Forest,95,1.75
Forest,105,1.9
Forest,115,2.05
Forest,125,2.02
Forest,135,2.3
Forest,145,2.4
Forest,155,2.52
Forest,165,2.62
Forest,175,2.9
Forest,185,2.9
Forest,195,3.02
Forest,205,3.12
Forest,215,3.0
Forest,225,3.3
Forest,235,3.27
Forest,245,3.35
Forest,255,3.65
