bri,watt
1,0.36
2,0.40
3,0.62
4,0.65
5,0.66
6,0.67
7,0.68
8,0.69
9,0.71
10,0.72
11,0.72
12,0.72
13,0.72
14,0.73
15,0.73
16,0.74
17,0.74
18,0.74
19,0.74
20,0.74
21,0.74
22,0.75
23,0.75
24,0.75
25,0.76
26,0.76
27,0.76
28,0.78
29,0.78
30,0.78
31,0.78
32,0.79
33,0.79
34,0.80
35,0.81
36,0.81
37,0.81
38,0.81
39,0.81
40,0.82
41,0.83
42,0.84
43,0.84
44,0.84
45,0.84
46,0.85
47,0.86
48,0.87
49,0.87
50,0.87
51,0.87
52,0.89
53,0.89
54,0.9
55,0.91
56,0.91
57,0.91
58,0.92
59,0.92
60,0.92
61,0.92
62,0.93
63,0.95
64,0.95
65,0.95
66,0.95
67,0.96
68,0.97
69,0.97
70,0.98
71,0.98
72,1.0
73,1.0
74,1.0
75,1.01
76,1.02
77,1.02
78,1.03
79,1.05
80,1.05
81,1.06
82,1.06
83,1.07
84,1.08
85,1.08
86,1.09
87,1.09
88,1.12
89,1.13
90,1.13
91,1.13
92,1.16
93,1.16
94,1.16
95,1.16
96,1.18
97,1.2
98,1.21
99,1.21
100,1.21
101,1.21
102,1.23
103,1.25
104,1.26
105,1.26
106,1.27
107,1.27
108,1.29
109,1.31
110,1.32
111,1.34
112,1.34
113,1.34
114,1.37
115,1.37
116,1.37
117,1.39
118,1.41
119,1.42
120,1.43
121,1.44
122,1.45
123,1.46
124,1.47
125,1.51
126,1.51
127,1.52
128,1.53
129,1.54
130,1.55
131,1.55
132,1.57
133,1.58
134,1.59
135,1.6
136,1.61
137,1.62
138,1.66
139,1.68
140,1.68
141,1.69
142,1.71
143,1.73
144,1.75
145,1.77
146,1.78
147,1.79
148,1.81
149,1.82
150,1.84
151,1.86
152,1.87
153,1.90
154,1.91
155,1.92
156,1.96
157,1.97
158,1.99
159,2.0
160,2.04
161,2.06
162,2.07
163,2.09
164,2.10
165,2.11
166,2.12
167,2.17
168,2.2
169,2.21
170,2.24
171,2.25
172,2.27
173,2.29
174,2.31
175,2.34
176,2.35
177,2.36
178,2.4
179,2.43
180,2.45
181,2.48
182,2.52
183,2.54
184,2.56
185,2.57
186,2.59
187,2.6
188,2.63
189,2.67
190,2.7
191,2.74
192,2.78
193,2.8
194,2.81
195,2.83
196,2.86
197,2.9
198,2.93
199,2.96
200,2.99
201,3.01
202,3.03
203,3.07
204,3.12
205,3.15
206,3.17
207,3.21
208,3.24
209,3.29
210,3.33
211,3.38
212,3.4
213,3.42
214,3.46
215,3.49
216,3.53
217,3.58
218,3.62
219,3.65
220,3.68
221,3.73
222,3.75
223,3.79
224,3.86
225,3.92
226,3.97
227,3.99
228,4.03
229,4.05
230,4.11
231,4.15
232,4.21
233,4.27
234,4.28
235,4.34
236,4.38
237,4.4
238,4.46
239,4.53
240,4.61
241,4.63
242,4.68
243,4.71
244,4.74
245,4.83
246,4.91
247,4.97
248,5.0
249,5.04
250,5.09
251,5.16
252,5.21
253,5.29
254,5.36
255,5.37
