bri,watt
1,0.77
2,0.7
3,0.82
4,0.8
5,0.72
6,0.76
7,0.82
8,0.74
9,0.81
10,0.73
11,0.72
12,0.75
13,0.8
14,0.75
15,0.75
16,0.73
17,0.81
18,0.77
19,0.68
20,0.72
21,0.77
22,0.75
23,0.75
24,0.7
25,0.78
26,0.78
27,0.77
28,0.79
29,0.78
30,0.72
31,0.81
32,0.79
33,0.79
34,0.88
35,0.88
36,0.84
37,0.78
38,0.85
39,0.8
40,0.86
41,0.84
42,0.92
43,0.82
44,0.92
45,0.95
46,0.94
47,0.93
48,0.89
49,0.93
50,0.88
51,0.88
52,0.98
53,0.94
54,0.9
55,0.96
56,0.96
57,0.89
58,1.0
59,0.96
60,0.9
61,0.92
62,0.95
63,1.05
64,1.07
65,1.02
66,1.06
67,1.12
68,1.18
69,1.21
70,1.13
71,1.13
72,1.13
73,1.27
74,1.33
75,1.29
76,1.3
77,1.38
78,1.4
79,1.51
80,1.41
81,1.54
82,1.53
83,1.6
84,1.59
85,1.63
86,1.61
87,1.73
88,1.64
89,1.76
90,1.65
91,1.81
92,1.84
93,1.93
94,1.96
95,1.93
96,2.04
97,2.05
98,2.2
99,2.01
100,2.11
101,2.2
102,2.18
103,2.24
104,2.37
105,2.38
106,2.31
107,2.38
108,2.51
109,2.38
110,2.34
111,2.48
112,2.45
113,2.45
114,2.51
115,2.56
116,2.54
117,2.6
118,2.54
119,2.67
120,2.69
121,2.78
122,2.72
123,2.77
124,2.78
125,2.86
126,2.83
127,2.91
128,2.85
129,2.88
130,2.9
131,2.98
132,3.02
133,3.06
134,3.13
135,3.16
136,3.06
137,3.12
138,3.2
139,3.29
140,3.24
141,3.27
142,3.31
143,3.3
144,3.32
145,3.51
146,3.43
147,3.41
148,3.5
149,3.59
150,3.65
151,3.59
152,3.69
153,3.86
154,3.76
155,3.97
156,3.9
157,3.9
158,3.93
159,4.06
160,4.05
161,4.07
162,4.13
163,4.16
164,4.28
165,4.39
166,4.31
167,4.36
168,4.5
169,4.44
170,4.49
171,4.55
172,4.58
173,4.7
174,4.68
175,4.82
176,4.85
177,4.96
178,4.91
179,5.05
180,4.96
181,5.13
182,5.17
183,5.1
184,5.32
185,5.31
186,5.38
187,5.46
188,5.49
189,5.54
190,5.59
191,5.59
192,5.8
193,5.72
194,5.79
195,5.86
196,6.01
197,6.01
198,6.03
199,6.18
200,6.09
201,6.16
202,6.3
203,6.38
204,6.6
205,6.39
206,6.57
207,6.66
208,6.77
209,6.78
210,6.87
211,7.06
212,7.0
213,7.0
214,7.11
215,7.18
216,7.24
217,7.33
218,7.35
219,7.49
220,7.53
221,7.5
222,7.68
223,7.69
224,7.63
225,7.88
226,7.93
227,8.08
228,8.03
229,8.16
230,8.26
231,8.22
232,8.34
233,8.44
234,8.49
235,8.53
236,8.57
237,8.73
238,8.86
239,8.92
240,8.99
241,9.02
242,9.1
243,9.17
244,9.23
245,9.25
246,9.46
247,9.51
248,9.57
249,9.63
250,9.9
251,9.89
252,9.85
253,9.92
254,10.01
255,10.41
