bri,watt
3,1.12
5,1.13
8,1.13
10,1.14
13,1.15
15,1.16
18,1.17
20,1.18
23,1.19
26,1.22
28,1.23
31,1.24
33,1.26
36,1.28
38,1.31
41,1.34
43,1.36
46,1.40
48,1.42
51,1.44
54,1.56
56,1.58
59,1.61
61,1.67
64,1.73
66,1.79
69,1.82
71,1.84
74,1.87
76,1.93
79,2.04
82,2.12
84,2.17
87,2.20
89,2.23
92,2.28
94,2.33
97,2.38
99,2.45
102,2.60
105,2.74
107,2.83
110,2.93
112,2.99
115,3.03
117,3.05
120,3.08
122,3.09
125,3.14
128,3.18
130,3.24
133,3.34
135,3.40
138,3.52
140,3.58
143,3.72
145,3.78
148,3.92
150,4.02
153,4.18
156,4.33
158,4.43
161,4.57
163,4.64
166,4.78
168,4.88
171,5.06
173,5.17
176,5.31
178,5.39
181,5.52
184,5.66
186,5.76
189,5.93
191,6.01
194,6.14
196,6.22
199,6.34
201,6.45
204,6.59
207,6.71
209,6.80
212,6.91
214,7.02
217,7.14
219,7.25
222,7.38
224,7.48
227,7.62
230,7.77
232,7.90
235,8.08
237,8.20
240,8.39
242,8.50
245,8.72
247,8.89
250,9.11
252,9.26
255,9.52
