bri,watt
1,0.1
2,0.19
3,0.16
4,0.24
5,0.21
6,0.22
7,0.24
8,0.15
9,0.26
10,0.25
11,0.15
12,0.2
13,0.22
14,0.2
15,0.17
16,0.15
17,0.19
18,0.24
19,0.21
20,0.24
21,0.24
22,0.21
23,0.24
24,0.2
25,0.16
26,0.2
27,0.24
28,0.22
29,0.15
30,0.17
31,0.19
32,0.21
33,0.16
34,0.19
35,0.21
36,0.16
37,0.22
38,0.19
39,0.23
40,0.23
41,0.25
42,0.21
43,0.23
44,0.29
45,0.29
46,0.29
47,0.27
48,0.27
49,0.28
50,0.28
51,0.27
52,0.32
53,0.31
54,0.3
55,0.34
56,0.38
57,0.33
58,0.36
59,0.37
60,0.39
61,0.41
62,0.36
63,0.44
64,0.46
65,0.39
66,0.46
67,0.5
68,0.48
69,0.44
70,0.47
71,0.5
72,0.57
73,0.5
74,0.47
75,0.49
76,0.55
77,0.54
78,0.6
79,0.5
80,0.49
81,0.55
82,0.55
83,0.57
84,0.48
85,0.58
86,0.57
87,0.57
88,0.64
89,0.6
90,0.59
91,0.66
92,0.58
93,0.58
94,0.57
95,0.65
96,0.62
97,0.76
98,0.72
99,0.67
100,0.79
101,0.79
102,0.82
103,0.84
104,0.76
105,0.86
106,0.87
107,0.85
108,0.84
109,0.87
110,0.88
111,0.86
112,0.93
113,0.92
114,0.94
115,0.9
116,0.95
117,0.99
118,0.92
119,1.02
120,0.95
121,0.93
122,1.0
123,1.0
124,1.02
125,1.06
126,1.11
127,1.11
128,1.09
129,1.13
130,1.25
131,1.27
132,1.24
133,1.33
134,1.32
135,1.32
136,1.33
137,1.27
138,1.26
139,1.3
140,1.36
141,1.33
142,1.33
143,1.32
144,1.41
145,1.44
146,1.41
147,1.41
148,1.4
149,1.46
150,1.52
151,1.48
152,1.56
153,1.58
154,1.54
155,1.6
156,1.57
157,1.6
158,1.61
159,1.65
160,1.61
161,1.66
162,1.66
163,1.75
164,1.7
165,1.79
166,1.76
167,1.88
168,1.83
169,1.8
170,1.79
171,1.84
172,1.86
173,1.89
174,1.93
175,1.99
176,1.96
177,1.97
178,1.97
179,2.01
180,1.98
181,2.01
182,1.97
183,2.03
184,2.02
185,2.15
186,2.11
187,2.1
188,2.14
189,2.23
190,2.24
191,2.24
192,2.24
193,2.29
194,2.36
195,2.36
196,2.38
197,2.34
198,2.45
199,2.36
200,2.45
201,2.45
202,2.41
203,2.44
204,2.5
205,2.51
206,2.48
207,2.62
208,2.62
209,2.61
210,2.65
211,2.64
212,2.76
213,2.7
214,2.72
215,2.84
216,2.8
217,2.85
218,2.85
219,2.85
220,2.92
221,2.86
222,2.91
223,2.87
224,2.88
225,2.9
226,2.93
227,2.92
228,2.95
229,2.91
230,3.0
231,2.97
232,3.01
233,3.03
234,3.09
235,3.15
236,3.17
237,3.22
238,3.21
239,3.25
240,3.27
241,3.31
242,3.31
243,3.41
244,3.43
245,3.43
246,3.5
247,3.5
248,3.53
249,3.51
250,3.54
251,3.61
252,3.61
253,3.63
254,3.69
255,3.71
