effect,bri,watt
off,5,1.2
off,45,1.31
off,85,1.6
off,125,2.07
off,165,2.74
off,205,3.58
off,245,4.42
off,255,4.71
candle,5,1.22
candle,45,1.34
candle,85,1.57
candle,125,1.88
candle,165,2.31
candle,205,2.86
candle,245,3.59
candle,255,3.77
sparkle,5,1.2
sparkle,45,1.22
sparkle,85,1.27
sparkle,125,1.38
sparkle,165,1.49
sparkle,205,1.61
sparkle,245,1.83
sparkle,255,1.87
glisten,5,1.2
glisten,45,1.26
glisten,85,1.36
glisten,125,1.56
glisten,165,1.85
glisten,205,2.22
glisten,245,2.7
glisten,255,2.81
sunrise,5,1.19
sunrise,45,1.2
sunrise,85,1.2
sunrise,125,1.19
sunrise,165,1.2
sunrise,205,1.19
sunrise,245,1.19
sunrise,255,1.19
sunset,5,1.19
sunset,45,1.24
sunset,85,1.33
sunset,125,1.5
sunset,165,1.74
sunset,205,2.04
sunset,245,2.41
sunset,255,2.51
