effect,bri,watt
Cheerful,255,4.83
Cherry blossoms,5,1.92
Cherry blossoms,15,2.25
Cherry blossoms,25,2.58
Cherry blossoms,35,2.7
Cherry blossoms,45,2.85
Cherry blossoms,55,3.1
Cherry blossoms,65,3.38
Cherry blossoms,75,3.58
Cherry blossoms,85,3.9
Cherry blossoms,95,4.08
Cherry blossoms,105,4.28
Cherry blossoms,115,4.4
Cherry blossoms,125,4.4
Cherry blossoms,135,4.98
Cherry blossoms,145,5.53
Cherry blossoms,155,5.45
Cherry blossoms,165,5.8
Cherry blossoms,175,5.67
Cherry blossoms,185,6.2
Cherry blossoms,195,6.3
Cherry blossoms,205,6.1
Cherry blossoms,215,6.85
Cherry blossoms,225,6.72
Cherry blossoms,235,7.2
Cherry blossoms,245,7.75
Cherry blossoms,255,7.3
Christmas,5,1.88
Christmas,15,2.17
Christmas,25,2.33
Christmas,35,2.58
Christmas,45,2.73
Christmas,55,3.02
Christmas,65,3.08
Christmas,75,3.33
Christmas,85,3.48
Christmas,95,3.83
Christmas,105,3.73
Christmas,115,4.3
Christmas,125,4.2
Christmas,135,4.45
Christmas,145,4.8
Christmas,155,4.75
Christmas,165,4.83
Christmas,175,5
Christmas,185,5.12
Christmas,195,5.33
Christmas,205,5.72
Christmas,215,5.7
Christmas,225,5.88
Christmas,235,6.1
Christmas,245,6.17
Christmas,255,6.45
Colorful,5,2
Colorful,15,2.35
Colorful,25,2.75
Colorful,35,3
Colorful,45,3.25
Colorful,55,3.5
Colorful,65,3.65
Colorful,75,4
Colorful,85,4.33
Colorful,95,4.53
Colorful,105,4.9
Colorful,115,5.15
Colorful,125,5.4
Colorful,135,5.72
Colorful,145,6.08
Colorful,155,6.47
Colorful,165,6.57
Colorful,175,6.88
Colorful,185,7.08
Colorful,195,7.47
Colorful,205,7.43
Colorful,215,7.67
Colorful,225,7.92
Colorful,235,8.3
Colorful,245,8.45
Colorful,255,9
crossing,5,3.8
crossing,15,4.7
crossing,25,5.55
crossing,35,6.2
crossing,45,7.1
crossing,55,8
crossing,65,8.85
crossing,75,9.53
crossing,85,10.28
crossing,95,10.95
crossing,105,11.75
crossing,115,12.38
crossing,125,13.28
crossing,135,13.82
crossing,145,14.62
crossing,155,15.25
crossing,165,16.12
crossing,175,16.75
crossing,185,17.35
crossing,195,18.23
crossing,205,19.15
crossing,215,20.02
crossing,225,20.6
crossing,235,21.48
crossing,245,22.35
crossing,255,23.12
Dance Party,5,1.98
Dance Party,15,1.98
Dance Party,25,2.32
Dance Party,35,3.08
Dance Party,45,3
Dance Party,55,2.92
Dance Party,65,2.98
Dance Party,75,2.95
Dance Party,85,2.95
Dance Party,95,3.08
Dance Party,105,3
Dance Party,115,3.05
Dance Party,125,3.05
Dance Party,135,3.08
Dance Party,145,2.95
Dance Party,155,3.12
Dance Party,165,3
Dance Party,175,2.92
Dance Party,185,2.98
Dance Party,195,2.95
Dance Party,205,3.02
Dance Party,215,3
Dance Party,225,3.02
Dance Party,235,3
Dance Party,245,3.05
Dance Party,255,3.08
dating,5,3.85
dating,15,4.75
dating,25,5.6
dating,35,6.28
dating,45,7.12
dating,55,8
dating,65,8.88
dating,75,9.43
dating,85,10.3
dating,95,10.9
dating,105,11.72
dating,115,12.33
dating,125,13.25
dating,135,13.88
dating,145,14.7
dating,155,15.25
dating,165,16.15
dating,175,16.82
dating,185,17.45
dating,195,18.32
dating,205,19.08
dating,215,20
dating,225,20.6
dating,235,21.45
dating,245,22.35
dating,255,23.18
Deep sea,5,3.05
Deep sea,15,2.98
Deep sea,25,3.1
Deep sea,35,3.08
Deep sea,45,2.98
Deep sea,55,3
Deep sea,65,2.9
Deep sea,75,3
Deep sea,85,3.02
Deep sea,95,2.92
Deep sea,105,3.05
Deep sea,115,2.95
Deep sea,125,3.1
Deep sea,135,3.02
Deep sea,145,3.02
Deep sea,155,3
Deep sea,165,3.05
Deep sea,175,3
Deep sea,185,2.95
Deep sea,195,2.98
Deep sea,205,2.9
Deep sea,215,2.95
Deep sea,225,2.88
Deep sea,235,3.05
Deep sea,245,3.05
Deep sea,255,2.92
Disco,5,2.92
Disco,15,3.08
Disco,25,3.08
Disco,35,3.02
Disco,45,3.05
Disco,55,2.95
Disco,65,2.95
Disco,75,2.95
Disco,85,2.95
Disco,95,3.05
Disco,105,2.95
Disco,115,3.02
Disco,125,2.98
Disco,135,3
Disco,145,2.98
Disco,155,3.02
Disco,165,3
Disco,175,2.92
Disco,185,3.05
Disco,195,2.9
Disco,205,2.98
Disco,215,2.95
Disco,225,2.9
Disco,235,2.98
Disco,245,2.9
Disco,255,2.95
Downpour,5,2.9
Downpour,15,3.02
Downpour,25,2.92
Downpour,35,3.1
Downpour,45,2.95
Downpour,55,2.98
Downpour,65,3.05
Downpour,75,3.02
Downpour,85,3.05
Downpour,95,3.02
Downpour,105,3.05
Downpour,115,3.08
