effect,bri,watt
breathe,195,5.17
breathe,205,5.15
breathe,215,5.55
breathe,225,6.0
breathe,235,6.0
breathe,245,6.07
breathe,255,5.95
crossing,5,3.18
crossing,15,3.77
crossing,25,4.4
crossing,35,4.97
crossing,45,5.62
crossing,55,6.28
crossing,65,6.97
crossing,75,7.45
crossing,85,8.12
crossing,95,8.8
crossing,105,9.25
crossing,115,9.9
crossing,125,10.55
crossing,135,10.88
crossing,145,11.5
crossing,155,12.07
crossing,165,12.6
crossing,175,13.15
crossing,185,13.8
crossing,195,14.28
crossing,205,14.9
crossing,215,15.53
crossing,225,16.0
crossing,235,16.6
crossing,245,17.2
crossing,255,17.88
