effect,bri,watt
none,5,2.88
none,15,3.15
none,25,3.6
none,35,4.36
none,45,5.24
none,55,6.17
none,65,7.01
none,75,7.7
none,85,8.62
none,95,9.45
none,105,10.36
none,115,11.2
none,125,12.06
none,135,12.46
none,145,13.31
none,155,14.2
none,165,14.98
none,175,15.85
none,185,16.68
none,195,17.29
none,205,18.15
none,215,18.97
none,225,19.78
none,235,20.58
none,245,21.42
none,255,22.25
sunrise,5,2.85
sunrise,15,2.88
sunrise,25,2.97
sunrise,35,3.11
sunrise,45,3.26
sunrise,55,3.42
sunrise,65,3.59
sunrise,75,3.76
sunrise,85,3.93
sunrise,95,4.1
sunrise,105,4.26
sunrise,115,4.41
sunrise,125,4.57
sunrise,135,4.7
sunrise,145,4.86
sunrise,155,5.03
sunrise,165,5.19
sunrise,175,5.36
sunrise,185,5.54
sunrise,195,5.71
sunrise,205,5.85
sunrise,215,6.04
sunrise,225,6.22
sunrise,235,6.38
sunrise,245,6.55
sunrise,255,6.72
sunset,5,2.75
sunset,15,2.75
sunset,25,2.86
sunset,35,3.01
sunset,45,3.17
sunset,55,3.33
sunset,65,3.52
sunset,75,3.66
sunset,85,3.83
sunset,95,4.03
sunset,105,4.21
sunset,115,4.38
sunset,125,4.57
sunset,135,4.69
sunset,145,4.88
sunset,155,5.1
sunset,165,5.29
sunset,175,5.43
sunset,185,5.62
sunset,195,5.87
sunset,205,5.99
sunset,215,6.24
sunset,225,6.42
sunset,235,6.63
sunset,245,6.75
sunset,255,6.95
movie,5,2.72
movie,15,2.96
movie,25,3.26
movie,35,3.71
movie,45,4.26
movie,55,4.84
movie,65,5.39
movie,75,5.86
movie,85,6.48
movie,95,7.13
movie,105,7.82
movie,115,8.37
movie,125,9.06
movie,135,9.44
movie,145,9.99
movie,155,10.67
movie,165,11.31
movie,175,11.95
movie,185,12.6
movie,195,13.05
movie,205,13.73
movie,215,14.31
movie,225,14.94
movie,235,15.54
movie,245,16.21
movie,255,16.87
dating,5,2.74
dating,15,3.01
dating,25,3.51
dating,35,4.02
dating,45,4.52
dating,55,5.03
dating,65,5.54
dating,75,5.95
dating,85,6.46
dating,95,6.98
dating,105,7.5
dating,115,8.01
dating,125,8.52
dating,135,8.79
dating,145,9.35
dating,155,9.91
dating,165,10.45
dating,175,10.97
dating,185,11.45
dating,195,11.91
dating,205,12.47
dating,215,12.97
dating,225,13.51
dating,235,14.03
dating,245,14.53
dating,255,15.09
romantic,5,2.76
romantic,15,3.05
romantic,25,3.57
romantic,35,4.15
romantic,45,4.72
romantic,55,5.33
romantic,65,5.95
romantic,75,6.38
romantic,85,6.91
romantic,95,7.71
romantic,105,8.26
romantic,115,8.79
romantic,125,9.47
romantic,135,9.78
romantic,145,10.41
romantic,155,10.91
romantic,165,11.01
romantic,175,12.02
romantic,185,12.37
romantic,195,12.76
romantic,205,13.72
romantic,215,13.93
romantic,225,14.61
romantic,235,15.19
romantic,245,15.78
romantic,255,16.47
twinkle,5,2.74
twinkle,15,2.96
twinkle,25,3.36
twinkle,35,3.81
twinkle,45,4.38
twinkle,55,4.83
twinkle,65,5.38
twinkle,75,5.81
twinkle,85,6.34
twinkle,95,6.79
twinkle,105,7.39
twinkle,115,7.94
twinkle,125,8.21
twinkle,135,8.68
twinkle,145,8.89
twinkle,155,9.74
twinkle,165,10.13
twinkle,175,10.79
twinkle,185,10.97
twinkle,195,11.39
twinkle,205,12.01
twinkle,215,12.45
twinkle,225,13.22
twinkle,235,13.34
twinkle,245,13.76
twinkle,255,14.69
candlelight,5,2.75
candlelight,15,3.02
candlelight,25,3.51
candlelight,35,4.04
candlelight,45,4.62
candlelight,55,5.12
candlelight,65,5.71
candlelight,75,6.09
candlelight,85,6.71
candlelight,95,7.04
candlelight,105,7.82
candlelight,115,8.01
candlelight,125,9.02
candlelight,135,8.96
candlelight,145,9.86
candlelight,155,10.35
candlelight,165,10.97
candlelight,175,10.95
candlelight,185,11.99
candlelight,195,12.77
candlelight,205,13.09
candlelight,215,12.98
candlelight,225,13.97
candlelight,235,14.54
candlelight,245,14.77
candlelight,255,15.65
