effect,bri,watt
blink,5,0.42
blink,45,0.5
blink,85,0.7
blink,125,1.01
blink,165,1.43
blink,205,2.0
blink,245,2.68
blink,255,2.72
breathe,5,0.52
breathe,45,1.13
breathe,85,1.15
breathe,125,2.15
breathe,165,3.55
breathe,205,5.33
breathe,245,7.5
breathe,255,8.12
okay,5,0.32
okay,45,0.81
okay,85,1.49
okay,125,2.55
okay,165,3.95
okay,205,5.74
okay,245,8.04
okay,255,8.66
channel_change,5,0.56
channel_change,45,0.53
channel_change,85,1.17
channel_change,125,2.16
channel_change,165,3.51
channel_change,205,5.32
channel_change,245,7.55
channel_change,255,8.25
finish_effect,5,0.35
finish_effect,45,0.63
finish_effect,85,1.31
finish_effect,125,2.4
finish_effect,165,3.84
finish_effect,205,5.76
finish_effect,245,8.06
finish_effect,255,8.73
stop_effect,5,0.36
stop_effect,45,0.61
stop_effect,85,1.3
stop_effect,125,2.42
stop_effect,165,3.88
stop_effect,205,5.73
stop_effect,245,8.05
stop_effect,255,8.72
colorloop,5,0.36
colorloop,45,0.6
colorloop,85,1.23
colorloop,125,2.33
colorloop,165,3.55
colorloop,205,5.29
colorloop,245,7.64
colorloop,255,7.82
stop_colorloop,5,0.35
stop_colorloop,45,0.59
stop_colorloop,85,1.37
stop_colorloop,125,2.4
stop_colorloop,165,3.86
stop_colorloop,205,5.83
stop_colorloop,245,8.15
stop_colorloop,255,8.75
