effect,bri,watt
candle,5,0.6
candle,45,0.53
candle,85,0.78
candle,125,1.25
candle,165,1.89
candle,205,2.75
candle,245,3.61
candle,255,3.79
cosmos,5,0.74
cosmos,45,0.39
cosmos,85,0.38
cosmos,125,0.46
cosmos,165,0.57
cosmos,205,0.57
cosmos,245,0.75
cosmos,255,0.73
enchant,5,0.38
enchant,45,0.52
enchant,85,0.93
enchant,125,1.57
enchant,165,2.54
enchant,205,3.23
enchant,245,5.3
enchant,255,5.36
fire,5,0.38
fire,45,0.41
fire,85,0.51
fire,125,0.65
fire,165,0.87
fire,205,1.05
fire,245,1.4
fire,255,1.51
glisten,5,0.41
glisten,45,0.5
glisten,85,0.76
glisten,125,1.28
glisten,165,1.73
glisten,205,1.98
glisten,245,2.93
glisten,255,2.88
off,5,0.44
off,45,0.75
off,85,1.63
off,125,2.96
off,165,4.82
off,205,7.49
off,245,10.81
off,255,11.68
opal,5,0.38
opal,45,0.69
opal,85,1.43
opal,125,2.63
opal,165,4.26
opal,205,6.79
opal,245,8.55
opal,255,10.16
prism,5,0.37
prism,45,0.47
prism,85,0.62
prism,125,0.92
prism,165,1.44
prism,205,2.0
prism,245,2.67
prism,255,2.87
sparkle,5,0.38
sparkle,45,0.55
sparkle,85,0.59
sparkle,125,1.05
sparkle,165,0.87
sparkle,205,1.3
sparkle,245,2.1
sparkle,255,1.52
sunbeam,5,0.37
sunbeam,45,0.51
sunbeam,85,0.95
sunbeam,125,1.53
sunbeam,165,2.48
sunbeam,205,3.75
sunbeam,245,4.93
sunbeam,255,5.4
sunrise,5,0.3
sunrise,45,0.34
sunrise,85,0.34
sunrise,125,0.35
sunrise,165,0.37
sunrise,205,0.34
sunrise,245,0.36
sunrise,255,0.35
sunset,5,0.38
sunset,45,0.41
sunset,85,0.53
sunset,125,0.73
sunset,165,0.99
sunset,205,1.37
sunset,245,1.86
sunset,255,1.98
underwater,5,0.42
underwater,45,0.42
underwater,85,0.58
underwater,125,0.86
underwater,165,1.27
underwater,205,1.76
underwater,245,2.2
underwater,255,2.52
