bri,watt
1,0.30
2,0.40
3,0.40
4,0.45
5,0.48
6,0.51
7,0.52
8,0.51
9,0.51
10,0.38
11,0.56
12,0.5
13,0.47
14,0.57
15,0.52
16,0.5
17,0.48
18,0.47
19,0.52
20,0.58
21,0.43
22,0.58
23,0.59
24,0.59
25,0.57
26,0.56
27,0.49
28,0.5
29,0.49
30,0.57
31,0.56
32,0.55
33,0.62
34,0.58
35,0.64
36,0.65
37,0.63
38,0.61
39,0.62
40,0.64
41,0.62
42,0.69
43,0.64
44,0.66
45,0.74
46,0.73
47,0.7
48,0.7
49,0.7
50,0.73
51,0.76
52,0.81
53,0.76
54,0.75
55,0.73
56,0.89
57,0.78
58,0.87
59,0.85
60,0.83
61,0.88
62,0.91
63,1.0
64,0.83
65,0.88
66,0.83
67,0.95
68,0.83
69,0.84
70,0.99
71,0.9
72,1.01
73,1.05
74,1.02
75,1.02
76,1.04
77,1.02
78,0.98
79,1.09
80,1.12
81,1.09
82,1.05
83,1.13
84,1.15
85,1.17
86,1.21
87,1.22
88,1.18
89,1.22
90,1.23
91,1.29
92,1.25
93,1.4
94,1.26
95,1.33
96,1.21
97,1.36
98,1.32
99,1.32
100,1.42
101,1.44
102,1.46
103,1.4
104,1.41
105,1.46
106,1.58
107,1.57
108,1.56
109,1.51
110,1.76
111,1.61
112,1.62
113,1.62
114,1.68
115,1.67
116,1.65
117,1.73
118,1.72
119,1.78
120,1.75
121,1.75
122,1.88
123,1.82
124,1.85
125,1.87
126,1.85
127,1.93
128,1.92
129,1.92
130,2.04
131,1.94
132,2.04
133,2.1
134,2.1
135,2.12
136,2.01
137,2.03
138,2.19
139,2.13
140,2.23
141,2.16
142,2.15
143,2.26
144,2.31
145,2.25
146,2.31
147,2.36
148,2.35
149,2.41
150,2.52
151,2.51
152,2.4
153,2.47
154,2.54
155,2.76
156,2.6
157,2.69
158,2.64
159,2.71
160,2.73
161,2.69
162,2.77
163,2.78
164,2.84
165,2.85
166,2.82
167,2.93
168,2.93
169,2.91
170,2.86
171,3.0
172,3.04
173,3.09
174,3.03
175,3.03
176,3.12
177,3.22
178,3.24
179,3.23
180,3.38
181,3.15
182,3.26
183,3.37
184,3.45
185,3.49
186,3.47
187,3.35
188,3.53
189,3.54
190,3.65
191,3.63
192,3.59
193,3.71
194,3.71
195,3.88
196,3.81
197,3.82
198,3.81
199,3.86
200,3.96
201,3.88
202,3.99
203,3.94
204,4.08
205,4.11
206,4.1
207,4.2
208,4.13
209,4.23
210,4.31
211,4.24
212,4.39
213,4.41
214,4.55
215,4.36
216,4.55
217,4.54
218,4.55
219,4.7
220,4.74
221,4.73
222,4.69
223,4.76
224,4.7
225,4.83
226,4.87
227,4.96
228,4.86
229,4.97
230,5.01
231,5.12
232,5.09
233,5.13
234,5.04
235,5.15
236,5.31
237,5.33
238,5.25
239,5.39
240,5.36
241,5.51
242,5.4
243,5.58
244,5.54
245,5.54
246,5.63
247,5.66
248,5.8
249,5.86
250,5.77
251,5.94
252,5.85
253,6.01
254,5.95
255,6.01
