bri,watt
1,1.31
2,1.31
3,1.24
4,1.22
5,1.22
6,1.21
7,1.28
8,1.2
9,1.2
10,1.28
11,1.26
12,1.26
13,1.22
14,1.21
15,1.21
16,1.26
17,1.3
18,1.3
19,1.32
20,1.23
21,1.23
22,1.3
23,1.23
24,1.23
25,1.3
26,1.27
27,1.27
28,1.22
29,1.28
30,1.28
31,1.29
32,1.24
33,1.24
34,1.23
35,1.25
36,1.25
37,1.13
38,1.32
39,1.32
40,1.27
41,1.26
42,1.26
43,1.31
44,1.3
45,1.3
46,1.26
47,1.33
48,1.33
49,1.33
50,1.32
51,1.32
52,1.35
53,1.28
54,1.28
55,1.25
56,1.29
57,1.29
58,1.35
59,1.36
60,1.36
61,1.4
62,1.39
63,1.39
64,1.41
65,1.44
66,1.44
67,1.42
68,1.48
69,1.48
70,1.46
71,1.52
72,1.52
73,1.49
74,1.57
75,1.57
76,1.55
77,1.59
78,1.59
79,1.63
80,1.58
81,1.58
82,1.66
83,1.65
84,1.65
85,1.65
86,1.74
87,1.74
88,1.8
89,1.84
90,1.84
91,1.86
92,1.81
93,1.81
94,1.91
95,1.81
96,1.81
97,1.94
98,2.03
99,2.03
100,1.96
101,1.99
102,1.99
103,2.08
104,2.03
105,2.03
106,2.12
107,2.18
108,2.18
109,2.1
110,2.12
111,2.12
112,2.25
113,2.22
114,2.22
115,2.33
116,2.36
117,2.36
118,2.42
119,2.45
120,2.45
121,2.45
122,2.48
123,2.48
124,2.44
125,2.51
126,2.51
127,2.59
128,2.63
129,2.63
130,2.74
131,2.76
132,2.76
133,2.73
134,2.81
135,2.84
136,2.84
137,2.86
138,2.94
139,2.94
140,2.9
141,3.0
142,3.0
143,3.02
144,3.05
145,3.05
146,3.1
147,3.12
148,3.12
149,3.21
150,3.24
151,3.23
152,3.23
153,3.33
154,3.43
155,3.43
156,3.42
157,3.43
158,3.43
159,3.52
160,3.57
161,3.57
162,3.63
163,3.73
164,3.84
165,3.84
166,3.79
167,3.84
168,3.84
169,4.0
170,4.04
171,4.04
172,4.11
173,4.08
174,4.13
175,4.13
176,4.3
177,4.3
178,4.3
179,4.44
180,4.39
181,4.39
182,4.51
183,4.63
184,4.63
185,4.7
186,4.86
187,4.86
188,4.83
189,4.9
190,4.9
191,5.03
192,5.07
193,5.07
194,5.19
195,5.23
196,5.23
197,5.3
198,5.38
199,5.38
200,5.49
201,5.54
202,5.54
203,5.59
204,5.69
205,5.69
206,5.88
207,5.98
208,5.98
209,6.07
210,6.16
211,6.16
212,5.78
213,5.84
214,5.84
215,5.92
216,6.03
217,6.03
218,6.15
219,6.18
220,6.1
221,6.04
222,6.04
223,6.3
224,6.29
225,6.29
226,6.41
227,6.47
228,6.47
229,6.61
230,6.7
231,6.7
232,6.75
233,6.82
234,6.82
235,6.85
236,7.09
237,7.17
238,7.17
239,7.12
240,7.24
241,7.24
242,7.37
243,7.39
244,7.39
245,7.5
246,7.59
247,7.59
248,7.77
249,7.85
250,7.85
251,7.91
252,7.91
253,8.27
254,8.27
255,8.51
