bri,watt
1,0.4
2,0.42
3,0.44
4,0.45
5,0.44
6,0.4
7,0.3
8,0.36
9,0.37
10,0.37
11,0.46
12,0.43
13,0.45
14,0.48
15,0.45
16,0.41
17,0.46
18,0.47
19,0.52
20,0.51
21,0.52
22,0.66
23,0.53
24,0.53
25,0.54
26,0.62
27,0.59
28,0.6
29,0.58
30,0.68
31,0.58
32,0.58
33,0.61
34,0.62
35,0.63
36,0.63
37,0.64
38,0.64
39,0.61
40,0.64
41,0.6
42,0.68
43,0.59
44,0.7
45,0.63
46,0.69
47,0.72
48,0.7
49,0.65
50,0.65
51,0.71
52,0.78
53,0.69
54,0.69
55,0.7
56,0.66
57,0.69
58,0.68
59,0.72
60,0.74
61,0.82
62,0.81
63,0.89
64,0.84
65,0.86
66,0.87
67,0.87
68,0.89
69,0.96
70,1.0
71,0.94
72,1.03
73,0.99
74,0.94
75,0.96
76,1.0
77,0.99
78,1.05
79,1.09
80,1.02
81,1.06
82,1.14
83,1.13
84,1.02
85,1.11
86,1.17
87,1.16
88,1.16
89,1.15
90,1.31
91,1.24
92,1.24
93,1.31
94,1.31
95,1.41
96,1.22
97,1.36
98,1.41
99,1.46
100,1.5
101,1.5
102,1.52
103,1.53
104,1.65
105,1.58
106,1.64
107,1.59
108,1.72
109,1.74
110,1.67
111,1.74
112,1.73
113,1.8
114,1.84
115,1.84
116,1.81
117,1.86
118,1.86
119,1.89
120,1.89
121,1.96
122,1.94
123,1.94
124,2.03
125,1.99
126,2.07
127,2.07
128,2.08
129,2.03
130,2.11
131,2.09
132,2.13
133,2.14
134,2.17
135,2.12
136,2.24
137,2.17
138,2.28
139,2.32
140,2.28
141,2.31
142,2.31
143,2.33
144,2.4
145,2.49
146,2.47
147,2.55
148,2.55
149,2.54
150,2.63
151,2.53
152,2.72
153,2.79
154,2.75
155,2.79
156,2.77
157,2.64
158,2.83
159,2.8
160,2.85
161,2.91
162,2.96
163,2.97
164,3.02
165,2.94
166,2.97
167,3.07
168,3.08
169,3.22
170,3.19
171,3.19
172,3.21
173,3.26
174,3.33
175,3.25
176,3.27
177,3.34
178,3.36
179,3.36
180,3.47
181,3.54
182,3.56
183,3.57
184,3.56
185,3.59
186,3.6
187,3.69
188,3.71
189,3.72
190,3.81
191,3.89
192,4.03
193,4.06
194,4.11
195,4.13
196,4.13
197,4.17
198,4.25
199,4.27
200,4.31
201,4.29
202,4.34
203,4.37
204,4.36
205,4.44
206,4.47
207,4.48
208,4.62
209,4.66
210,4.69
211,4.73
212,4.76
213,4.82
214,4.85
215,4.86
216,4.84
217,4.99
218,4.9
219,5.08
220,5.1
221,5.17
222,5.16
223,5.22
224,5.31
225,5.25
226,5.19
227,5.4
228,5.51
229,5.52
230,5.59
231,5.61
232,5.62
233,5.7
234,5.82
235,5.79
236,5.75
237,5.89
238,5.95
239,5.99
240,6.04
241,6.05
242,6.14
243,6.23
244,6.18
245,6.18
246,6.24
247,6.34
248,6.27
249,6.34
250,6.39
251,6.46
252,6.46
253,6.55
254,6.6
255,6.61
