0,9.6
25,9.5
30,9.6
40,9.5
45,9.6
50,9.5
60,9.6
65,9.4
70,9.3
75,9.2
80,9.3
85,9.4
90,9.3
95,9.2
100,9.3
110,9.1
120,9.3
125,9.2
130,9.1
135,9.2
140,9.1
150,9.2
155,9.1
175,8.9
190,9.0
195,8.8
200,8.9
230,8.7
240,8.9
245,8.8
255,8.9
260,8.8
265,8.7
270,8.6
275,8.7
280,8.6
285,8.7
290,8.6
300,8.5
305,8.6
310,8.5
315,8.4
320,8.5
330,8.6
335,8.5
340,8.3
345,8.5
350,8.4
365,8.5
370,8.3
375,8.4
380,8.3
390,8.2
395,8.3
400,8.2
405,8.3
420,8.1
425,8.2
430,8.3
435,7.9
440,8.1
445,8.3
450,8.2
455,8.1
475,7.9
480,8.0
485,8.1
490,7.9
495,8.0
505,7.8
510,8.0
520,7.9
530,7.8
535,7.9
540,7.8
550,7.9
555,7.7
560,7.9
570,7.8
575,4.3
580,2.96
