effect,bri,watt
off,5,1.31
off,45,1.3
off,85,1.48
off,125,1.76
off,165,2.15
off,205,2.73
off,245,3.5
off,255,3.76
candle,5,1.25
candle,45,1.36
candle,85,1.65
candle,125,2.08
candle,165,2.6
candle,205,3.24
candle,245,3.95
candle,255,4.16
fire,5,1.21
fire,45,1.33
fire,85,1.45
fire,125,1.69
fire,165,1.98
fire,205,2.4
fire,245,2.9
fire,255,3.13
prism,5,1.21
prism,45,1.27
prism,85,1.38
prism,125,1.65
prism,165,1.95
prism,205,2.33
prism,245,2.82
prism,255,2.94
sparkle,5,1.23
sparkle,45,1.25
sparkle,85,1.37
sparkle,125,1.45
sparkle,165,1.58
sparkle,205,1.77
sparkle,245,2.06
sparkle,255,2.08
opal,5,1.25
opal,45,1.44
opal,85,1.9
opal,125,2.59
opal,165,3.68
opal,205,4.84
opal,245,5.89
opal,255,6.42
glisten,5,1.28
glisten,45,1.31
glisten,85,1.45
glisten,125,1.67
glisten,165,2.06
glisten,205,2.57
glisten,245,3.04
glisten,255,2.99
