effect,bri,watt
none,5,2.23
none,15,2.65
none,25,3.27
none,35,3.8
none,45,4.35
none,55,4.9
none,65,5.43
none,75,6.0
none,85,6.53
none,95,6.83
none,105,7.43
none,115,7.9
none,125,8.43
none,135,8.85
none,145,9.3
none,155,9.83
none,165,10.3
none,175,10.7
none,185,11.28
none,195,11.7
none,205,12.3
none,215,12.75
none,225,13.28
none,235,13.83
none,245,14.3
none,255,14.95
sunrise,5,2.15
sunrise,15,2.7
sunrise,25,3.27
sunrise,35,3.8
sunrise,45,4.37
sunrise,55,4.9
sunrise,65,5.43
sunrise,75,6.03
sunrise,85,6.53
sunrise,95,6.9
sunrise,105,7.47
sunrise,115,7.93
sunrise,125,8.4
sunrise,135,8.83
sunrise,145,9.3
sunrise,155,9.85
sunrise,165,10.3
sunrise,175,10.78
sunrise,185,11.25
sunrise,195,11.72
sunrise,205,12.28
sunrise,215,12.8
sunrise,225,13.3
sunrise,235,13.78
sunrise,245,14.35
sunrise,255,14.97
sunset,5,2.13
sunset,15,2.65
sunset,25,3.25
sunset,35,3.8
sunset,45,4.33
sunset,55,4.93
sunset,65,5.38
sunset,75,6.03
sunset,85,6.6
sunset,95,6.95
sunset,105,7.4
sunset,115,7.9
sunset,125,8.45
sunset,135,8.83
sunset,145,9.3
sunset,155,9.8
sunset,165,10.35
sunset,175,10.72
sunset,185,11.25
sunset,195,11.75
sunset,205,12.25
sunset,215,12.8
sunset,225,13.25
sunset,235,13.8
sunset,245,14.3
sunset,255,14.93
movie,5,4.7
movie,15,5.0
movie,25,5.03
movie,35,5.45
movie,45,5.53
movie,55,5.9
movie,65,6.07
movie,75,6.42
movie,85,6.62
movie,95,6.65
movie,105,7.0
movie,115,7.1
movie,125,7.58
movie,135,7.88
movie,145,7.95
movie,155,8.38
movie,165,8.12
movie,175,8.38
movie,185,8.68
movie,195,8.8
movie,205,9.15
movie,215,9.2
movie,225,9.65
movie,235,10.25
movie,245,10.25
movie,255,10.22
dating,5,3.1
dating,15,3.27
dating,25,3.37
dating,35,3.38
dating,45,3.62
dating,55,3.52
dating,65,4.0
dating,75,4.12
dating,85,4.2
dating,95,4.25
dating,105,4.2
dating,115,4.25
dating,125,4.47
dating,135,4.53
dating,145,4.72
dating,155,5.05
dating,165,5.03
dating,175,5.28
dating,185,5.45
dating,195,5.17
dating,205,5.1
dating,215,5.4
dating,225,5.6
dating,235,5.55
dating,245,5.88
dating,255,5.7
romantic,5,4.4
romantic,15,5.15
romantic,25,5.97
romantic,35,5.83
romantic,45,5.9
romantic,55,6.28
romantic,65,6.9
romantic,75,7.53
romantic,85,7.3
romantic,95,7.42
romantic,105,8.7
romantic,115,8.45
romantic,125,8.08
romantic,135,7.47
romantic,145,9.25
romantic,155,10.0
romantic,165,10.28
romantic,175,9.8
romantic,185,9.4
romantic,195,11.05
romantic,205,12.03
romantic,215,10.85
romantic,225,11.67
romantic,235,13.45
romantic,245,11.1
romantic,255,13.17
twinkle,5,4.95
twinkle,15,4.45
twinkle,25,4.25
twinkle,35,5.23
twinkle,45,6.57
twinkle,55,4.65
twinkle,65,5.7
twinkle,75,6.12
twinkle,85,6.28
twinkle,95,6.62
twinkle,105,6.6
twinkle,115,7.05
twinkle,125,6.47
twinkle,135,8.07
twinkle,145,6.4
twinkle,155,8.1
twinkle,165,6.65
twinkle,175,8.28
twinkle,185,9.0
twinkle,195,8.82
twinkle,205,9.55
twinkle,215,8.62
twinkle,225,10.08
twinkle,235,13.53
twinkle,245,10.03
twinkle,255,10.22
candlelight,5,2.27
candlelight,15,3.38
candlelight,25,4.72
candlelight,35,5.93
candlelight,45,7.07
candlelight,55,8.25
candlelight,65,9.35
candlelight,75,10.38
candlelight,85,11.5
candlelight,95,12.22
candlelight,105,13.25
candlelight,115,14.43
candlelight,125,15.5
candlelight,135,16.32
candlelight,145,17.5
candlelight,155,18.65
candlelight,165,19.73
candlelight,175,20.62
candlelight,185,21.68
candlelight,195,22.77
candlelight,205,23.88
candlelight,215,24.98
candlelight,225,26.1
candlelight,235,27.23
candlelight,245,28.32
candlelight,255,29.48
snowflake,5,2.23
snowflake,15,3.45
snowflake,25,4.75
snowflake,35,5.93
snowflake,45,7.1
snowflake,55,8.33
snowflake,65,9.35
snowflake,75,10.43
snowflake,85,11.5
snowflake,95,12.28
snowflake,105,13.3
snowflake,115,14.4
snowflake,125,15.57
snowflake,135,16.35
snowflake,145,17.5
snowflake,155,18.65
snowflake,165,19.77
snowflake,175,20.65
snowflake,185,21.75
snowflake,195,22.8
snowflake,205,23.9
snowflake,215,25.0
snowflake,225,26.15
snowflake,235,27.25
snowflake,245,28.35
snowflake,255,29.55
energetic,5,2.27
energetic,15,3.42
energetic,25,4.75
energetic,35,5.97
energetic,45,7.1
energetic,55,8.38
energetic,65,9.4
energetic,75,10.4
energetic,85,11.47
energetic,95,12.25
energetic,105,13.3
energetic,115,14.47
energetic,125,15.5
energetic,135,16.38
energetic,145,17.55
energetic,155,18.62
energetic,165,19.75
energetic,175,20.65
energetic,185,21.77
energetic,195,22.77
energetic,205,23.85
energetic,215,25.03
energetic,225,26.18
energetic,235,27.27
energetic,245,28.35
energetic,255,29.52
breathe,5,2.25
breathe,15,3.55
breathe,25,4.78
breathe,35,5.93
breathe,45,7.1
breathe,55,8.2
breathe,65,9.47
breathe,75,10.53
breathe,85,11.67
breathe,95,12.57
breathe,105,13.7
breathe,115,14.8
breathe,125,16.08
breathe,135,16.88
breathe,145,18.0
breathe,155,19.1
breathe,165,20.2
breathe,175,20.98
breathe,185,22.15
breathe,195,23.25
breathe,205,24.38
breathe,215,25.45
breathe,225,26.65
breathe,235,27.7
breathe,245,28.8
breathe,255,30.0
crossing,5,3.27
crossing,15,3.2
crossing,25,3.23
crossing,35,3.45
crossing,45,3.4
crossing,55,3.67
crossing,65,3.77
crossing,75,3.77
crossing,85,3.97
crossing,95,4.17
crossing,105,4.07
crossing,115,4.3
crossing,125,4.4
crossing,135,5.03
crossing,145,4.83
crossing,155,5.0
crossing,165,4.83
crossing,175,5.03
crossing,185,4.92
crossing,195,5.17
crossing,205,5.3
crossing,215,5.42
crossing,225,5.38
crossing,235,6.02
crossing,245,5.78
crossing,255,5.9
