bri,watt
1,0.72
2,0.88
3,0.84
4,0.75
5,0.83
6,0.84
7,0.89
8,0.9
9,0.92
10,1.01
11,1.0
12,1.0
13,1.06
14,1.02
15,1.14
16,1.11
17,1.15
18,1.17
19,1.26
20,1.28
21,1.33
22,1.33
23,1.33
24,1.36
25,1.47
26,1.56
27,1.52
28,1.55
29,1.64
30,1.66
31,1.69
32,1.7
33,1.71
34,1.78
35,1.85
36,1.87
37,1.86
38,1.85
39,1.86
40,1.95
41,1.94
42,1.95
43,1.96
44,2.03
45,2.06
46,2.18
47,2.11
48,2.16
49,2.21
50,2.28
51,2.36
52,2.15
53,2.23
54,2.35
55,2.36
56,2.33
57,2.43
58,2.4
59,2.42
60,2.56
61,2.62
62,2.61
63,2.58
64,2.55
65,2.53
66,2.59
67,2.72
68,2.81
69,2.88
70,2.88
71,2.84
72,2.81
73,2.8
74,2.9
75,2.96
76,2.98
77,3.09
78,3.06
79,2.99
80,3.0
81,3.09
82,3.15
83,3.12
84,3.2
85,3.24
86,3.28
87,3.35
88,3.35
89,3.39
90,3.45
91,3.45
92,3.45
93,3.4
94,3.58
95,3.61
96,3.63
97,3.63
98,3.71
99,3.73
100,3.72
101,3.69
102,3.81
103,3.82
104,3.85
105,3.83
106,3.88
107,3.94
108,4.02
109,3.98
110,4.05
111,4.02
112,4.07
113,4.17
114,4.13
115,4.21
116,4.29
117,4.28
118,4.42
119,4.3
120,4.3
121,4.36
122,4.32
123,4.58
124,4.66
125,4.45
126,4.42
127,4.38
128,4.52
129,4.71
130,4.67
131,4.71
132,4.81
133,4.72
134,4.71
135,4.73
136,4.69
137,4.82
138,4.9
139,4.97
140,5.0
141,4.98
142,5.02
143,5.05
144,4.8
145,5.06
146,5.11
147,5.04
148,4.97
149,5.11
150,5.35
151,5.35
152,5.29
153,5.31
154,5.41
155,5.41
156,5.39
157,5.54
158,5.5
159,5.53
160,5.49
161,5.38
162,5.5
163,5.59
164,5.62
165,5.67
166,5.75
167,5.76
168,5.76
169,5.66
170,5.9
171,5.82
172,5.8
173,5.94
174,5.97
175,5.92
176,5.91
177,6.06
178,6.25
179,6.1
180,5.96
181,6.22
182,6.17
183,6.09
184,6.08
185,6.22
186,6.3
187,6.43
188,6.31
189,6.28
190,6.26
191,6.37
192,6.51
193,6.61
194,6.51
195,6.59
196,6.65
197,6.75
198,6.76
199,6.64
200,6.75
201,6.77
202,6.93
203,6.86
204,6.88
205,6.94
206,6.92
207,6.95
208,7.06
209,7.0
210,6.82
211,7.05
212,7.19
213,6.97
214,6.95
215,7.24
216,7.25
217,7.22
218,7.34
219,7.32
220,7.47
221,7.58
222,7.54
223,7.5
224,7.4
225,7.45
226,7.48
227,7.46
228,7.53
229,7.47
230,7.43
231,7.57
232,7.61
233,7.52
234,7.6
235,7.85
236,7.93
237,7.93
238,7.77
239,7.75
240,7.86
241,8.01
242,8.05
243,7.93
244,7.91
245,8.09
246,7.88
247,7.95
248,8.05
249,8.16
250,8.15
251,8.09
252,8.29
253,8.29
254,8.25
255,8.31

