effect,bri,watt
off,5,0.28
off,45,0.42
off,85,0.75
off,125,1.3
off,165,2.0
off,205,2.73
off,245,3.62
off,255,3.89
candle,5,0.28
candle,45,0.41
candle,85,0.57
candle,125,0.82
candle,165,1.2
candle,205,1.57
candle,245,1.96
candle,255,2.06
fire,5,0.28
fire,45,0.31
fire,85,0.37
fire,125,0.44
fire,165,0.56
fire,205,0.68
fire,245,0.86
fire,255,0.9
prism,5,0.28
prism,45,0.31
prism,85,0.37
prism,125,0.48
prism,165,0.62
prism,205,0.78
prism,245,1.03
prism,255,1.09
sparkle,5,0.27
sparkle,45,0.29
sparkle,85,0.31
sparkle,125,0.38
sparkle,165,0.47
sparkle,205,0.57
sparkle,245,0.7
sparkle,255,0.73
opal,5,0.26
opal,45,0.37
opal,85,0.61
opal,125,0.99
opal,165,1.52
opal,205,2.1
opal,245,2.69
opal,255,2.85
glisten,5,0.29
glisten,45,0.35
glisten,85,0.42
glisten,125,0.54
glisten,165,0.72
glisten,205,0.96
glisten,245,1.24
glisten,255,1.33
underwater,5,0.3
underwater,45,0.3
underwater,85,0.35
underwater,125,0.42
underwater,165,0.51
underwater,205,0.64
underwater,245,0.77
underwater,255,0.82
cosmos,5,0.27
cosmos,45,0.3
cosmos,85,0.32
cosmos,125,0.35
cosmos,165,0.38
cosmos,205,0.46
cosmos,245,0.52
cosmos,255,0.57
sunbeam,5,0.29
sunbeam,45,0.39
sunbeam,85,0.6
sunbeam,125,1.02
sunbeam,165,1.59
sunbeam,205,2.12
sunbeam,245,3.11
sunbeam,255,3.37
enchant,5,0.26
enchant,45,0.28
enchant,85,0.35
enchant,125,0.46
enchant,165,0.67
enchant,205,0.85
enchant,245,1.14
enchant,255,1.17
sunrise,5,0.3
sunrise,45,0.3
sunrise,85,0.3
sunrise,125,0.3
sunrise,165,0.32
sunrise,205,0.32
sunrise,245,0.31
sunrise,255,0.32
sunset,5,0.31
sunset,45,0.32
sunset,85,0.4
sunset,125,0.51
sunset,165,0.63
sunset,205,0.68
sunset,245,0.77
sunset,255,0.79
