effect,bri,watt
candle,5,0.75
candle,45,0.78
candle,85,1.11
candle,125,1.52
candle,165,2.14
candle,205,2.86
candle,245,3.76
candle,255,4.21
cosmos,5,0.54
cosmos,45,0.56
cosmos,85,0.65
cosmos,125,0.68
cosmos,165,0.8
cosmos,205,1.0
cosmos,245,1.11
cosmos,255,1.1
enchant,5,0.56
enchant,45,0.72
enchant,85,0.73
enchant,125,1.15
enchant,165,2.13
enchant,205,2.44
enchant,245,3.83
enchant,255,2.5
fire,5,0.55
fire,45,0.65
fire,85,0.81
fire,125,1.05
fire,165,1.32
fire,205,1.62
fire,245,2.01
fire,255,2.11
glisten,5,0.58
glisten,45,0.66
glisten,85,0.87
glisten,125,1.22
glisten,165,1.53
glisten,205,2.24
glisten,245,2.8
glisten,255,3.0
off,5,0.56
off,45,0.89
off,85,1.53
off,125,2.6
off,165,4.11
off,205,5.99
off,245,8.41
off,255,9.15
opal,5,0.55
opal,45,0.85
opal,85,1.49
opal,125,2.35
opal,165,3.67
opal,205,5.42
opal,245,7.74
opal,255,8.01
prism,5,0.58
prism,45,0.63
prism,85,0.74
prism,125,0.93
prism,165,1.21
prism,205,1.5
prism,245,1.88
prism,255,1.86
sparkle,5,0.58
sparkle,45,0.62
sparkle,85,0.7
sparkle,125,0.85
sparkle,165,1.05
sparkle,205,1.28
sparkle,245,1.58
sparkle,255,1.66
sunbeam,5,0.57
sunbeam,45,0.8
sunbeam,85,1.5
sunbeam,125,2.43
sunbeam,165,3.63
sunbeam,205,4.42
sunbeam,245,5.8
sunbeam,255,8.17
sunrise,5,0.56
sunrise,45,0.55
sunrise,85,0.56
sunrise,125,0.54
sunrise,165,0.56
sunrise,205,0.53
sunrise,245,0.55
sunrise,255,0.57
sunset,5,0.56
sunset,45,0.65
sunset,85,0.84
sunset,125,1.16
sunset,165,1.51
sunset,205,1.85
sunset,245,2.5
sunset,255,2.66
underwater,5,0.56
underwater,45,0.6
underwater,85,0.69
underwater,125,0.86
underwater,165,1.06
underwater,205,1.25
underwater,245,1.51
underwater,255,1.58
