effect,bri,watt
off,5,1.37
off,45,2.59
off,85,5.69
off,125,10.66
off,165,17.65
off,205,26.52
off,245,35.8
off,255,39.73
candle,5,1.37
candle,45,1.56
candle,85,1.89
candle,125,2.71
candle,165,3.4
candle,205,4.63
candle,245,6.11
candle,255,6.03
fire,5,1.32
fire,45,1.79
fire,85,2.93
fire,125,4.53
fire,165,6.11
fire,205,9.14
fire,245,10.71
fire,255,13.0
prism,5,1.23
prism,45,1.89
prism,85,3.66
prism,125,6.2
prism,165,10.02
prism,205,14.71
prism,245,20.4
prism,255,21.7
sparkle,5,1.45
sparkle,45,1.94
sparkle,85,2.55
sparkle,125,3.46
sparkle,165,4.45
sparkle,205,5.49
sparkle,245,6.5
sparkle,255,6.89
opal,5,1.28
opal,45,2.29
opal,85,4.62
opal,125,8.3
opal,165,13.53
opal,205,19.8
opal,245,27.15
opal,255,30.99
glisten,5,1.35
glisten,45,1.97
glisten,85,3.06
glisten,125,4.7
glisten,165,6.93
glisten,205,8.9
glisten,245,11.9
glisten,255,12.78
underwater,5,1.22
underwater,45,1.46
underwater,85,2.29
underwater,125,3.59
underwater,165,5.22
underwater,205,6.77
underwater,245,8.95
underwater,255,9.83
cosmos,5,1.18
cosmos,45,1.26
cosmos,85,1.48
cosmos,125,1.94
cosmos,165,2.46
cosmos,205,3.23
cosmos,245,4.24
cosmos,255,4.64
sunbeam,5,1.26
sunbeam,45,1.78
sunbeam,85,2.92
sunbeam,125,4.63
sunbeam,165,7.52
sunbeam,205,10.8
sunbeam,245,14.81
sunbeam,255,16.68
enchant,5,1.25
enchant,45,1.62
enchant,85,2.78
enchant,125,4.8
enchant,165,6.95
enchant,205,10.19
enchant,245,13.77
enchant,255,15.12
sunrise,5,1.09
sunrise,45,0.95
sunrise,85,1.05
sunrise,125,1.07
sunrise,165,0.99
sunrise,205,0.99
sunrise,245,1.04
sunrise,255,1.14
sunset,5,1.3
sunset,45,2.17
sunset,85,4.37
sunset,125,7.93
sunset,165,12.17
sunset,205,17.99
sunset,245,25.43
sunset,255,26.97
