bri,watt
2,0.89
3,0.95
4,0.91
5,0.99
6,0.96
7,0.99
8,0.99
9,1.02
10,1.0
11,1.05
12,1.04
13,1.07
14,1.08
15,1.04
16,1.06
17,1.12
18,1.11
19,1.06
20,1.25
21,1.12
22,1.06
23,1.19
24,1.19
25,1.17
26,1.08
27,1.25
28,1.17
29,1.2
30,1.21
31,1.15
32,1.2
33,1.17
34,1.25
35,1.26
36,1.27
37,1.35
38,1.31
39,1.32
40,1.38
41,1.29
42,1.35
43,1.41
44,1.36
45,1.44
46,1.44
47,1.38
48,1.42
49,1.42
50,1.48
51,1.54
52,1.56
53,1.4
54,1.52
55,1.5
56,1.52
57,1.51
58,1.58
59,1.58
60,1.6
61,1.6
62,1.62
63,1.65
64,1.62
65,1.67
66,1.76
67,1.71
68,1.69
69,1.74
70,1.75
71,1.77
72,1.83
73,1.81
74,1.85
75,1.84
76,1.88
77,1.83
78,1.93
79,1.91
80,1.92
81,2.0
82,1.98
83,1.98
84,1.89
85,2.02
86,2.05
87,2.04
88,2.08
89,2.16
90,2.06
91,2.22
92,2.12
93,2.21
94,2.17
95,2.27
96,2.32
97,2.35
98,2.27
99,2.31
100,2.29
101,2.3
102,2.39
103,2.45
104,2.38
105,2.45
106,2.48
107,2.46
108,2.56
109,2.58
110,2.54
111,2.66
112,2.67
113,2.74
114,2.71
115,2.73
116,2.87
117,2.92
118,2.84
119,2.92
120,2.89
121,3.04
122,2.95
123,3.04
124,3.05
125,3.14
126,3.06
127,3.17
128,3.23
129,3.21
130,3.25
131,3.19
132,3.38
133,3.33
134,3.38
135,3.32
136,3.41
137,3.48
138,3.52
139,3.54
140,3.58
141,3.6
142,3.63
143,3.7
144,3.77
145,3.71
146,3.85
147,3.9
148,3.98
149,3.96
150,3.97
151,4.04
152,4.01
153,4.05
154,4.15
155,4.18
156,4.28
157,4.33
158,4.37
159,4.38
160,4.37
161,4.49
162,4.6
163,4.57
164,4.73
165,4.75
166,4.75
167,4.79
168,4.89
169,4.97
170,4.98
171,5.05
172,5.01
173,5.15
174,5.17
175,5.18
176,5.3
177,5.38
178,5.5
179,5.47
180,5.63
181,5.62
182,5.72
183,5.84
184,5.98
185,6.04
186,6.02
187,6.14
188,6.2
189,6.21
190,6.23
191,6.34
192,6.42
193,6.54
194,6.66
195,6.71
196,6.81
197,6.9
198,6.94
199,7.02
200,7.12
201,7.13
202,7.4
203,7.37
204,7.42
205,7.49
206,7.66
207,7.72
208,7.79
209,7.71
210,7.96
211,7.98
212,8.04
213,8.15
214,8.3
215,8.39
216,8.52
217,8.59
218,8.66
219,8.8
220,8.89
221,8.93
222,9.04
223,9.18
224,9.27
225,9.36
226,9.58
227,9.64
228,9.64
229,9.84
230,9.86
231,10.08
232,10.14
233,10.34
234,10.46
235,10.52
236,10.82
237,10.82
238,11.05
239,11.04
240,11.23
241,11.38
242,11.45
243,11.66
244,11.82
245,11.91
246,12.11
247,12.31
248,12.44
249,12.46
250,12.66
251,12.72
252,12.96
253,13.05
254,13.21
255,13.22
