bri,watt
1,0.7
2,0.71
3,0.67
4,0.75
5,0.72
6,0.68
7,0.7
8,0.66
9,0.69
10,0.73
11,0.7
12,0.73
13,0.71
14,0.69
15,0.68
16,0.65
17,0.7
18,0.62
19,0.7
20,0.67
21,0.64
22,0.69
23,0.7
24,0.68
25,0.67
26,0.69
27,0.7
28,0.69
29,0.65
30,0.69
31,0.69
32,0.7
33,0.7
34,0.71
35,0.68
36,0.68
37,0.69
38,0.66
39,0.66
40,0.71
41,0.65
42,0.68
43,0.67
44,0.73
45,0.65
46,0.69
47,0.71
48,0.73
49,0.69
50,0.72
51,0.71
52,0.73
53,0.71
54,0.76
55,0.75
56,0.73
57,0.77
58,0.76
59,0.8
60,0.79
61,0.84
62,0.78
63,0.83
64,0.79
65,0.89
66,0.84
67,0.85
68,0.85
69,0.85
70,0.83
71,0.88
72,0.86
73,0.96
74,0.92
75,0.86
76,0.94
77,0.96
78,0.92
79,0.96
80,0.94
81,1.0
82,0.93
83,0.96
84,1.01
85,1.03
86,0.98
87,1.01
88,1.03
89,1.04
90,1.08
91,1.01
92,1.08
93,1.07
94,1.08
95,1.12
96,1.11
97,1.17
98,1.15
99,1.22
100,1.24
101,1.15
102,1.15
103,1.21
104,1.2
105,1.25
106,1.26
107,1.28
108,1.31
109,1.31
110,1.33
111,1.34
112,1.38
113,1.37
114,1.4
115,1.44
116,1.45
117,1.45
118,1.48
119,1.45
120,1.49
121,1.52
122,1.55
123,1.59
124,1.56
125,1.61
126,1.59
127,1.62
128,1.64
129,1.63
130,1.69
131,1.74
132,1.73
133,1.69
134,1.81
135,1.78
136,1.84
137,1.79
138,1.84
139,1.94
140,1.88
141,1.88
142,2.01
143,2.02
144,2.04
145,2.03
146,2.08
147,2.06
148,2.06
149,2.11
150,2.2
151,2.17
152,2.25
153,2.24
154,2.33
155,2.31
156,2.34
157,2.38
158,2.39
159,2.41
160,2.43
161,2.47
162,2.53
163,2.56
164,2.58
165,2.61
166,2.68
167,2.74
168,2.75
169,2.71
170,2.79
171,2.79
172,2.84
173,2.89
174,2.93
175,2.98
176,2.96
177,3.06
178,3.09
179,3.08
180,3.18
181,3.23
182,3.24
183,3.23
184,3.34
185,3.34
186,3.42
187,3.43
188,3.5
189,3.56
190,3.58
191,3.66
192,3.66
193,3.72
194,3.79
195,3.8
196,3.79
197,3.93
198,3.95
199,3.96
200,4.03
201,4.08
202,4.15
203,4.17
204,4.22
205,4.27
206,4.29
207,4.36
208,4.36
209,4.51
210,4.49
211,4.64
212,4.6
213,4.69
214,4.72
215,4.81
216,4.92
217,4.92
218,4.93
219,5.02
220,5.08
221,5.12
222,5.17
223,5.25
224,5.27
225,5.34
226,5.39
227,5.54
228,5.59
229,5.61
230,5.73
231,5.79
232,5.94
233,6.01
234,6.06
235,6.12
236,6.15
237,6.22
238,6.29
239,6.31
240,6.36
241,6.43
242,6.57
243,6.62
244,6.68
245,6.75
246,6.88
247,6.84
248,7.02
249,7.13
250,7.18
251,7.23
252,7.27
253,7.42
254,7.52
255,7.57
