bri,watt
25,0.55
26,0.56
27,0.55
28,0.57
29,0.6
30,0.58
31,0.59
32,0.57
33,0.59
34,0.6
35,0.59
36,0.61
37,0.62
38,0.63
39,0.62
40,0.61
41,0.63
42,0.65
43,0.65
44,0.66
45,0.66
46,0.66
47,0.67
48,0.67
49,0.69
50,0.7
51,0.71
52,0.72
53,0.71
54,0.71
55,0.71
56,0.73
57,0.74
58,0.73
59,0.73
60,0.75
61,0.74
62,0.76
63,0.76
64,0.77
65,0.79
66,0.79
67,0.8
68,0.83
69,0.82
70,0.83
71,0.84
72,0.85
73,0.84
74,0.88
75,0.86
76,0.85
77,0.87
78,0.9
79,0.91
80,0.91
81,0.91
82,0.9
83,0.93
84,0.95
85,0.95
86,0.96
87,0.96
88,0.99
89,0.99
90,1.01
91,1.01
92,1.03
93,1.03
94,1.03
95,1.06
96,1.06
97,1.05
98,1.07
99,1.09
100,1.09
101,1.11
102,1.11
103,1.13
104,1.14
105,1.17
106,1.17
107,1.18
108,1.19
109,1.22
110,1.22
111,1.24
112,1.26
113,1.27
114,1.26
115,1.28
116,1.29
117,1.31
118,1.33
119,1.33
120,1.35
121,1.38
122,1.39
123,1.39
124,1.39
125,1.42
126,1.44
127,1.44
128,1.44
129,1.45
130,1.48
131,1.51
132,1.52
133,1.51
134,1.54
135,1.55
136,1.57
137,1.58
138,1.6
139,1.62
140,1.65
141,1.66
142,1.67
143,1.66
144,1.7
145,1.73
146,1.76
147,1.78
148,1.79
149,1.79
150,1.81
151,1.84
152,1.87
153,1.88
154,1.9
155,1.92
156,1.93
157,1.98
158,1.98
159,1.99
160,2.01
161,2.02
162,2.03
163,2.06
164,2.08
165,2.1
166,2.13
167,2.16
168,2.18
169,2.23
170,2.25
171,2.29
172,2.29
173,2.31
174,2.35
175,2.37
176,2.4
177,2.42
178,2.46
179,2.48
180,2.49
181,2.51
182,2.56
183,2.58
184,2.61
185,2.65
186,2.69
187,2.71
188,2.72
189,2.76
190,2.76
191,2.79
192,2.83
193,2.87
194,2.9
195,2.93
196,2.98
197,3.01
198,3.02
199,3.05
200,3.07
201,3.12
202,3.18
203,3.19
204,3.24
205,3.24
206,3.3
207,3.35
208,3.37
209,3.4
210,3.45
211,3.47
212,3.52
213,3.56
214,3.6
215,3.61
216,3.67
217,3.72
218,3.76
219,3.78
220,3.84
221,3.88
222,3.93
223,3.98
224,4.0
225,4.06
226,4.08
227,4.13
228,4.19
229,4.22
230,4.26
231,4.3
232,4.35
233,4.41
234,4.46
235,4.51
236,4.55
237,4.58
238,4.64
239,4.71
240,4.75
241,4.8
242,4.85
243,4.92
244,4.99
245,5.0
246,5.07
247,5.11
248,5.16
249,5.23
250,5.28
251,5.32
252,5.38
253,5.45
254,5.51
255,5.57
