bri,watt
1,1.1
2,1.2
3,1.3
4,1.4
5,1.3
6,1.4
7,1.5
8,1.6
9,1.7
10,1.6
11,1.7
12,1.8
13,1.7
14,2.0
15,1.9
16,2.0
17,1.9
18,2.0
19,1.9
20,2.0
21,2.1
22,2.2
23,2.3
24,2.2
25,2.1
26,2.3
27,2.4
28,2.5
29,2.4
30,2.5
31,2.6
32,2.7
33,2.8
34,2.7
35,2.8
36,2.7
37,2.9
38,2.8
39,3.0
40,3.0
41,3.1
42,3.2
43,3.1
44,3.3
45,3.2
46,3.3
47,3.4
48,3.3
49,3.4
50,3.5
51,3.6
52,3.4
53,3.6
54,3.7
55,3.6
56,3.8
57,3.7
58,3.9
59,3.8
60,3.9
61,4.1
62,4.0
63,4.1
64,4.2
65,4.1
66,4.3
67,4.2
68,4.3
69,4.4
70,4.5
71,4.4
72,4.5
73,4.6
74,4.7
75,4.6
76,4.7
77,4.8
78,4.7
79,4.9
80,5.0
81,4.9
82,5.0
83,5.1
84,5.0
85,5.1
86,5.2
87,5.1
88,5.2
89,5.3
90,5.2
91,5.4
92,5.3
93,5.6
94,5.5
95,5.6
96,5.7
97,5.6
98,5.8
99,5.6
100,5.8
101,5.7
102,5.9
103,5.8
104,6.1
105,6.0
106,6.1
107,6.2
108,6.1
109,6.3
110,6.2
111,6.3
112,6.4
113,6.5
114,6.6
115,6.5
116,6.6
117,6.4
118,6.6
119,6.7
120,6.8
121,6.9
122,6.8
123,6.9
124,6.9
125,7.0
126,7.1
127,7.0
128,7.2
129,7.1
130,7.2
131,7.4
132,7.2
133,7.4
134,7.5
135,7.4
136,7.5
137,7.6
138,7.5
139,7.7
140,7.8
141,7.7
142,7.8
143,7.9
144,8.1
145,7.9
146,8.0
147,8.1
148,8.0
149,8.2
150,8.3
151,8.2
152,8.3
153,8.2
154,8.3
155,8.4
156,8.5
157,8.4
158,8.5
159,8.6
160,8.5
161,8.7
162,8.8
163,8.7
164,8.8
165,8.9
166,9.0
167,8.9
168,9.0
169,9.2
170,9.1
171,9.2
172,9.1
173,9.2
174,9.3
175,9.4
176,9.3
177,9.5
178,9.4
179,9.6
180,9.7
181,9.6
182,9.7
183,9.6
184,9.8
185,9.9
186,9.8
187,9.9
188,10.1
189,9.9
190,10.0
191,10.1
192,10.0
193,10.3
194,10.2
195,10.3
196,10.4
197,10.3
198,10.6
199,10.5
200,10.6
201,10.4
202,10.6
203,10.7
204,10.8
205,10.7
206,10.8
207,10.9
208,10.8
209,11.0
210,11.1
211,11.0
212,11.1
213,11.2
214,11.3
215,11.2
216,11.1
217,11.3
218,11.4
219,11.3
220,11.5
221,11.6
222,11.5
223,11.7
224,11.6
225,11.7
226,11.8
227,11.7
228,11.9
229,12.0
230,11.9
231,12.1
232,12.0
233,12.3
234,12.2
235,12.3
236,12.2
237,12.4
238,12.3
239,12.5
240,12.4
241,12.5
242,12.6
243,12.5
244,12.7
245,12.6
246,12.8
247,12.9
248,12.8
249,12.9
250,12.8
251,12.9
252,12.8
253,13.0
254,13.3
255,13.2
