effect,bri,watt
off,5,1.43
off,45,2.0
off,85,3.47
off,125,5.82
off,165,8.89
off,205,12.85
off,245,17.46
off,255,18.78
candle,5,1.44
candle,45,1.77
candle,85,2.38
candle,125,3.27
candle,165,4.42
candle,205,6.17
candle,245,7.73
candle,255,8.23
fire,5,1.37
fire,45,1.75
fire,85,2.69
fire,125,3.94
fire,165,5.88
fire,205,7.61
fire,245,10.15
fire,255,10.36
prism,5,1.38
prism,45,1.93
prism,85,3.37
prism,125,5.64
prism,165,8.65
prism,205,12.03
prism,245,16.16
prism,255,17.73
sparkle,5,1.53
sparkle,45,2.26
sparkle,85,2.97
sparkle,125,4.36
sparkle,165,5.55
sparkle,205,6.56
sparkle,245,7.98
sparkle,255,8.31
opal,5,1.41
opal,45,2.91
opal,85,6.45
opal,125,11.97
opal,165,18.93
opal,205,27.07
opal,245,37.24
opal,255,40.03
glisten,5,1.43
glisten,45,2.15
glisten,85,3.5
glisten,125,5.83
glisten,165,8.26
glisten,205,11.15
glisten,245,13.92
glisten,255,14.71
underwater,5,1.35
underwater,45,1.66
underwater,85,2.64
underwater,125,4.12
underwater,165,6.34
underwater,205,8.64
underwater,245,11.16
underwater,255,12.0
cosmos,5,1.28
cosmos,45,1.35
cosmos,85,1.55
cosmos,125,1.89
cosmos,165,2.29
cosmos,205,2.92
cosmos,245,3.76
cosmos,255,3.97
sunbeam,5,1.39
sunbeam,45,2.16
sunbeam,85,4.07
sunbeam,125,7.14
sunbeam,165,10.7
sunbeam,205,15.37
sunbeam,245,21.17
sunbeam,255,22.64
enchant,5,1.33
enchant,45,2.03
enchant,85,3.8
enchant,125,6.71
enchant,165,10.38
enchant,205,14.8
enchant,245,20.12
enchant,255,21.41
sunrise,5,0.95
sunrise,45,1.08
sunrise,85,1.13
sunrise,125,1.1
sunrise,165,1.1
sunrise,205,1.13
sunrise,245,1.12
sunrise,255,1.1
sunset,5,1.39
sunset,45,2.14
sunset,85,4.02
sunset,125,6.95
sunset,165,11.08
sunset,205,15.46
sunset,245,20.93
sunset,255,22.62
