effect,bri,watt
Afternoon,5,1.73
Afternoon,45,4.12
Afternoon,85,5.94
Afternoon,125,9.17
Afternoon,165,10.55
Afternoon,205,11.85
Afternoon,245,14.15
Afternoon,255,14.05
Aurora,5,1.92
Aurora,45,5.57
Aurora,85,9.04
Aurora,125,12.51
Aurora,165,16.03
Aurora,205,19.23
Aurora,245,22.59
Aurora,255,23.88
Beer Festival,5,1.95
Beer Festival,45,5.87
Beer Festival,85,9.26
Beer Festival,125,12.89
Beer Festival,165,16.72
Beer Festival,205,20.3
Beer Festival,245,21.54
Beer Festival,255,22.39
Birthday,5,1.65
Birthday,45,3.0
Birthday,85,4.29
Birthday,125,5.64
Birthday,165,6.85
Birthday,205,8.42
Birthday,245,9.75
Birthday,255,10.25
Cherry blossoms,5,1.95
Cherry blossoms,45,6.14
Cherry blossoms,85,10.11
Cherry blossoms,125,14.12
Cherry blossoms,165,18.0
Cherry blossoms,205,20.88
Cherry blossoms,245,24.31
Cherry blossoms,255,25.92
Children's Day,5,2.16
Children's Day,45,7.95
Children's Day,85,12.78
Children's Day,125,17.79
Children's Day,165,22.53
Children's Day,205,28.07
Children's Day,245,32.31
Children's Day,255,32.63
Christmas,5,2.03
Christmas,45,6.87
Christmas,85,10.99
Christmas,125,15.21
Christmas,165,19.09
Christmas,205,22.95
Christmas,245,27.04
Christmas,255,28.16
Christmas Gift,5,1.98
Christmas Gift,45,5.55
Christmas Gift,85,10.05
Christmas Gift,125,13.35
Christmas Gift,165,15.41
Christmas Gift,205,20.78
Christmas Gift,245,23.24
Christmas Gift,255,23.0
Christmas Tree,5,1.75
Christmas Tree,45,4.09
Christmas Tree,85,6.31
Christmas Tree,125,8.15
Christmas Tree,165,9.36
Christmas Tree,205,11.37
Christmas Tree,245,11.9
Christmas Tree,255,13.26
Christmas-A,5,2.09
Christmas-A,45,6.71
Christmas-A,85,10.96
Christmas-A,125,15.26
Christmas-A,165,19.08
Christmas-A,205,23.01
Christmas-A,245,27.1
Christmas-A,255,28.19
Christmas-B,5,1.75
Christmas-B,45,3.87
Christmas-B,85,5.95
Christmas-B,125,8.38
Christmas-B,165,10.99
Christmas-B,205,11.56
Christmas-B,245,10.92
Christmas-B,255,13.75
Dance Party,5,1.93
Dance Party,45,5.26
Dance Party,85,8.76
Dance Party,125,11.31
Dance Party,165,16.09
Dance Party,205,18.79
Dance Party,245,21.11
Dance Party,255,20.03
Deep sea,5,1.72
Deep sea,45,3.71
Deep sea,85,5.62
Deep sea,125,7.65
Deep sea,165,9.72
Deep sea,205,11.34
Deep sea,245,13.01
Deep sea,255,13.43
Desert,5,2.17
Desert,45,7.88
Desert,85,13.11
Desert,125,18.15
Desert,165,23.4
Desert,205,28.27
Desert,245,33.48
Desert,255,34.81
Dreamland,5,1.49
Dreamland,45,1.98
Dreamland,85,2.41
Dreamland,125,2.79
Dreamland,165,3.27
Dreamland,205,3.69
Dreamland,245,4.26
Dreamland,255,4.28
Easter,5,1.96
Easter,45,6.03
Easter,85,9.92
Easter,125,13.77
Easter,165,17.12
Easter,205,20.88
Easter,245,25.2
Easter,255,24.75
Energetic,5,1.79
Energetic,45,4.44
Energetic,85,6.47
Energetic,125,9.67
Energetic,165,12.25
Energetic,205,13.65
Energetic,245,14.54
Energetic,255,14.98
Fall,5,2.15
Fall,45,7.68
Fall,85,12.67
Fall,125,17.73
Fall,165,22.08
Fall,205,26.75
Fall,245,31.97
Fall,255,32.77
Father's Day,5,1.61
Father's Day,45,2.74
Father's Day,85,4.15
Father's Day,125,5.15
Father's Day,165,6.78
Father's Day,205,8.5
Father's Day,245,9.16
Father's Day,255,9.04
Fire,5,1.78
Fire,45,4.3
Fire,85,6.99
Fire,125,9.22
Fire,165,12.2
Fire,205,14.05
Fire,245,16.31
Fire,255,16.67
Firefly,5,1.76
Firefly,45,4.23
Firefly,85,6.14
Firefly,125,9.14
Firefly,165,11.49
Firefly,205,12.67
Firefly,245,14.78
Firefly,255,15.56
Fireworks,5,1.87
Fireworks,45,5.43
Fireworks,85,8.44
Fireworks,125,11.89
Fireworks,165,15.28
Fireworks,205,16.87
Fireworks,245,22.02
Fireworks,255,20.77
Flash,5,1.82
Flash,45,4.77
Flash,85,7.89
Flash,125,11.02
Flash,165,13.82
Flash,205,16.39
Flash,245,19.1
Flash,255,20.09
Flower Field,5,2.09
Flower Field,45,7.12
Flower Field,85,11.48
Flower Field,125,16.01
Flower Field,165,20.26
Flower Field,205,24.66
Flower Field,245,28.43
Flower Field,255,30.05
Forest,5,1.99
Forest,45,6.01
Forest,85,9.99
Forest,125,12.31
Forest,165,17.76
Forest,205,19.24
Forest,245,23.39
Forest,255,23.55
