bri,watt
1,3.21
2,3.18
3,3.23
4,3.25
5,3.13
6,3.12
7,3.21
8,3.25
9,3.26
10,3.23
11,3.23
12,3.22
13,3.27
14,3.28
15,3.22
16,3.26
17,3.28
18,3.25
19,3.22
20,3.19
21,3.21
22,3.23
23,3.3
24,3.25
25,3.21
26,3.33
27,3.3
28,3.23
29,3.26
30,3.31
31,3.27
32,3.28
33,3.28
34,3.38
35,3.28
36,3.25
37,3.29
38,3.25
39,3.29
40,3.32
41,3.24
42,3.22
43,3.33
44,3.37
45,3.29
46,3.24
47,3.18
48,3.12
49,3.27
50,3.27
51,3.22
52,3.31
53,3.16
54,3.25
55,3.18
56,3.13
57,3.26
58,3.29
59,3.24
60,3.24
61,3.23
62,3.14
63,3.13
64,3.26
65,3.34
66,3.28
67,3.26
68,3.28
69,3.31
70,3.37
71,3.33
72,3.22
73,3.19
74,3.17
75,3.18
76,3.35
77,3.39
78,3.24
79,3.23
80,3.23
81,3.22
82,3.2
83,3.23
84,3.25
85,3.22
86,3.31
87,3.38
88,3.15
89,3.3
90,3.37
91,3.23
92,3.17
93,3.19
94,3.28
95,3.34
96,3.38
97,3.27
98,3.25
99,3.29
100,3.22
101,3.09
102,3.13
103,3.17
104,3.21
105,3.38
106,3.3
107,3.44
108,3.28
109,3.23
110,3.28
111,3.34
112,3.39
113,3.38
114,3.31
115,3.33
116,3.37
117,3.38
118,3.26
119,3.27
120,3.34
121,3.31
122,3.33
123,3.3
124,3.17
125,3.28
126,3.49
127,3.36
128,3.24
129,3.27
130,3.31
131,3.28
132,3.26
133,3.34
134,3.24
135,3.12
136,3.16
137,3.22
138,3.23
139,3.24
140,3.23
141,3.26
142,3.34
143,3.28
144,3.25
145,3.21
146,3.14
147,3.22
148,3.26
149,3.27
150,3.47
151,3.46
152,3.37
153,3.39
154,3.22
155,3.1
156,3.01
157,3.18
158,3.39
159,3.39
160,3.29
161,3.14
162,3.2
163,3.31
164,3.44
165,3.37
166,3.27
167,3.27
168,3.28
169,3.32
170,3.4
171,3.33
172,3.32
173,3.35
174,3.31
175,3.29
176,3.18
177,3.23
178,3.28
179,3.29
180,3.17
181,3.21
182,3.43
183,3.41
184,3.4
185,3.2
186,3.12
187,3.3
188,3.25
189,3.27
190,3.21
191,3.22
192,3.31
193,3.3
194,3.28
195,3.26
196,3.36
197,3.42
198,3.38
199,3.37
200,3.38
201,3.26
202,3.24
203,3.27
204,3.29
205,3.22
206,3.62
207,3.48
208,3.38
209,3.43
210,3.41
211,3.34
212,3.39
213,3.4
214,3.27
215,3.22
216,3.27
217,3.2
218,3.29
219,3.37
220,3.3
221,3.24
222,3.23
223,3.47
224,3.4
225,3.1
226,3.23
227,3.24
228,3.28
229,3.42
230,3.4
231,3.21
232,3.23
233,3.37
234,3.43
235,3.47
236,3.38
237,3.27
238,3.3
239,3.32
240,3.39
241,3.26
242,3.18
243,3.23
244,3.33
245,3.16
246,3.05
247,3.29
248,3.25
249,3.24
250,3.37
251,3.37
252,3.31
253,3.05
254,3.25
255,3.23
