bri,watt
1,0.7
2,0.5
3,0.6
4,0.6
5,0.37
6,0.5
7,0.37
8,0.5
9,0.4
10,0.5
11,0.6
12,0.33
13,0.6
14,0.3
15,0.7
16,0.2
17,0.63
18,0.5
19,0.4
20,0.6
21,0.4
22,0.43
23,0.5
24,0.4
25,0.6
26,0.6
27,0.43
28,0.43
29,0.4
30,0.4
31,0.6
32,0.7
33,0.4
34,0.53
35,0.43
36,0.4
37,0.4
38,0.5
39,1.0
40,0.63
41,0.47
42,0.7
43,0.53
44,0.47
45,0.63
46,0.6
47,0.6
48,0.57
49,0.57
50,0.73
51,0.5
52,0.8
53,0.6
54,0.43
55,0.87
56,0.5
57,0.67
58,0.7
59,0.77
60,0.6
61,0.67
62,0.67
63,0.9
64,0.9
65,0.9
66,1.0
67,0.8
68,0.67
69,0.8
70,0.77
71,0.67
72,0.7
73,1.1
74,0.87
75,0.93
76,0.9
77,0.77
78,0.77
79,0.97
80,1.13
81,0.93
82,1.13
83,0.97
84,1.03
85,1.07
86,1.13
87,1.0
88,0.97
89,1.07
90,0.9
91,1.2
92,1.2
93,1.23
94,1.2
95,1.3
96,1.27
97,1.5
98,1.27
99,1.37
100,1.23
101,1.4
102,1.37
103,1.7
104,1.4
105,1.37
106,1.43
107,1.57
108,1.67
109,1.37
110,1.47
111,1.77
112,1.33
113,1.3
114,1.87
115,1.37
116,1.67
117,1.53
118,1.77
119,1.6
120,1.57
121,1.8
122,1.57
123,1.57
124,1.8
125,1.8
126,1.97
127,1.7
128,1.9
129,1.73
130,1.73
131,1.9
132,1.83
133,1.87
134,2.07
135,2.07
136,2.07
137,2.27
138,2.0
139,1.9
140,1.87
141,2.27
142,2.2
143,2.3
144,2.3
145,2.47
146,2.37
147,2.33
148,2.73
149,2.33
150,2.27
151,2.57
152,2.5
153,2.6
154,2.57
155,2.43
156,2.47
157,2.43
158,2.67
159,2.63
160,2.9
161,2.6
162,2.67
163,2.57
164,2.7
165,2.87
166,2.93
167,2.87
168,3.1
169,2.87
170,2.97
171,3.03
172,2.93
173,3.2
174,2.83
175,3.13
176,3.23
177,3.2
178,3.37
179,3.13
180,3.03
181,3.23
182,3.4
183,3.33
184,3.4
185,3.47
186,3.67
187,3.93
188,3.67
189,3.77
190,3.67
191,3.97
192,4.03
193,3.53
194,3.87
195,3.77
196,3.77
197,3.77
198,4.0
199,3.87
200,3.97
201,3.73
202,4.0
203,3.97
204,4.03
205,4.37
206,4.07
207,4.07
208,4.7
209,4.6
210,4.63
211,4.33
212,4.3
213,4.47
214,4.53
215,4.5
216,5.23
217,5.1
218,4.53
219,4.67
220,4.63
221,4.97
222,5.07
223,5.4
224,4.7
225,4.8
226,5.4
227,5.2
228,5.27
229,5.13
230,5.07
231,5.4
232,5.37
233,5.23
234,5.43
235,5.33
236,5.53
237,5.63
238,5.47
239,5.57
240,5.73
241,5.57
242,5.97
243,5.93
244,6.3
245,6.0
246,5.93
247,6.5
248,6.47
249,6.23
250,6.0
251,6.1
252,6.33
253,6.53
254,6.8
255,7.0
