bri,watt
1,0.82
4,0.83
7,0.83
10,0.84
13,0.84
16,0.86
19,0.87
22,0.88
25,0.9
28,0.92
31,0.94
34,0.97
37,1.0
40,1.02
43,1.05
46,1.1
49,1.14
52,1.18
55,1.22
58,1.25
61,1.3
64,1.35
67,1.4
70,1.45
73,1.51
76,1.58
79,1.63
82,1.69
85,1.76
88,1.83
91,1.9
94,1.97
97,2.04
100,2.13
103,2.2
106,2.27
109,2.37
112,2.45
115,2.54
118,2.64
121,2.72
124,2.8
127,2.88
130,2.97
133,3.06
136,3.14
139,3.23
142,3.32
145,3.4
148,3.48
151,3.56
154,3.65
157,3.73
160,3.82
163,3.9
166,3.98
169,4.07
172,4.15
175,4.23
178,4.32
181,4.4
184,4.49
187,4.58
190,4.67
193,4.75
196,4.84
199,4.92
202,5.01
205,5.09
208,5.18
211,5.26
214,5.34
217,5.42
220,5.5
223,5.59
226,5.68
229,5.76
232,5.84
235,5.92
238,6.0
241,6.08
244,6.17
247,6.27
250,6.38
253,6.51
255,6.72
